"GEO_ID","NAME","B08303_001E","B08303_001EA","B08303_001M","B08303_001MA","B08303_002E","B08303_002EA","B08303_002M","B08303_002MA","B08303_003E","B08303_003M","B08303_003MA","B08303_003EA","B08303_004E","B08303_004M","B08303_004MA","B08303_004EA","B08303_005E","B08303_005M","B08303_005MA","B08303_005EA","B08303_006E","B08303_006EA","B08303_006M","B08303_006MA","B08303_007E","B08303_007EA","B08303_007M","B08303_007MA","B08303_008E","B08303_008EA","B08303_008M","B08303_008MA","B08303_009E","B08303_009M","B08303_009MA","B08303_009EA","B08303_010E","B08303_010M","B08303_010MA","B08303_010EA","B08303_011E","B08303_011EA","B08303_011M","B08303_011MA","B08303_012E","B08303_012EA","B08303_012M","B08303_012MA","B08303_013E","B08303_013EA","B08303_013M","B08303_013MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Less than 5 minutes","Annotation of Estimate!!Total!!Less than 5 minutes","Margin of Error!!Total!!Less than 5 minutes","Annotation of Margin of Error!!Total!!Less than 5 minutes","Estimate!!Total!!5 to 9 minutes","Margin of Error!!Total!!5 to 9 minutes","Annotation of Margin of Error!!Total!!5 to 9 minutes","Annotation of Estimate!!Total!!5 to 9 minutes","Estimate!!Total!!10 to 14 minutes","Margin of Error!!Total!!10 to 14 minutes","Annotation of Margin of Error!!Total!!10 to 14 minutes","Annotation of Estimate!!Total!!10 to 14 minutes","Estimate!!Total!!15 to 19 minutes","Margin of Error!!Total!!15 to 19 minutes","Annotation of Margin of Error!!Total!!15 to 19 minutes","Annotation of Estimate!!Total!!15 to 19 minutes","Estimate!!Total!!20 to 24 minutes","Annotation of Estimate!!Total!!20 to 24 minutes","Margin of Error!!Total!!20 to 24 minutes","Annotation of Margin of Error!!Total!!20 to 24 minutes","Estimate!!Total!!25 to 29 minutes","Annotation of Estimate!!Total!!25 to 29 minutes","Margin of Error!!Total!!25 to 29 minutes","Annotation of Margin of Error!!Total!!25 to 29 minutes","Estimate!!Total!!30 to 34 minutes","Annotation of Estimate!!Total!!30 to 34 minutes","Margin of Error!!Total!!30 to 34 minutes","Annotation of Margin of Error!!Total!!30 to 34 minutes","Estimate!!Total!!35 to 39 minutes","Margin of Error!!Total!!35 to 39 minutes","Annotation of Margin of Error!!Total!!35 to 39 minutes","Annotation of Estimate!!Total!!35 to 39 minutes","Estimate!!Total!!40 to 44 minutes","Margin of Error!!Total!!40 to 44 minutes","Annotation of Margin of Error!!Total!!40 to 44 minutes","Annotation of Estimate!!Total!!40 to 44 minutes","Estimate!!Total!!45 to 59 minutes","Annotation of Estimate!!Total!!45 to 59 minutes","Margin of Error!!Total!!45 to 59 minutes","Annotation of Margin of Error!!Total!!45 to 59 minutes","Estimate!!Total!!60 to 89 minutes","Annotation of Estimate!!Total!!60 to 89 minutes","Margin of Error!!Total!!60 to 89 minutes","Annotation of Margin of Error!!Total!!60 to 89 minutes","Estimate!!Total!!90 or more minutes","Annotation of Estimate!!Total!!90 or more minutes","Margin of Error!!Total!!90 or more minutes","Annotation of Margin of Error!!Total!!90 or more minutes",
"1400000US17031803100","Census Tract 8031, Cook County, Illinois","1675","null","142","null","49","null","48","null","135","55","null","null","210","77","null","null","182","85","null","null","259","null","96","null","133","null","63","null","199","null","77","null","0","11","null","null","106","54","null","null","236","null","85","null","156","null","71","null","10","null","15","null",
"1400000US17031803200","Census Tract 8032, Cook County, Illinois","2365","null","206","null","50","null","66","null","222","130","null","null","92","70","null","null","400","131","null","null","414","null","135","null","216","null","131","null","314","null","127","null","201","89","null","null","19","30","null","null","227","null","108","null","154","null","91","null","56","null","49","null",
"1400000US17031803300","Census Tract 8033, Cook County, Illinois","2806","null","253","null","38","null","49","null","177","85","null","null","368","162","null","null","336","116","null","null","380","null","138","null","238","null","113","null","290","null","96","null","80","56","null","null","252","127","null","null","383","null","162","null","210","null","100","null","54","null","48","null",
"1400000US17031803400","Census Tract 8034, Cook County, Illinois","2977","null","321","null","36","null","43","null","398","159","null","null","436","193","null","null","192","81","null","null","385","null","164","null","226","null","92","null","279","null","119","null","171","86","null","null","150","89","null","null","319","null","134","null","385","null","139","null","0","null","16","null",
"1400000US17031803500","Census Tract 8035, Cook County, Illinois","2381","null","255","null","65","null","70","null","298","103","null","null","193","103","null","null","180","88","null","null","234","null","103","null","70","null","70","null","274","null","103","null","58","49","null","null","173","91","null","null","445","null","190","null","308","null","127","null","83","null","44","null",
"1400000US17031803603","Census Tract 8036.03, Cook County, Illinois","2831","null","321","null","15","null","25","null","114","65","null","null","169","82","null","null","331","111","null","null","434","null","149","null","133","null","69","null","493","null","148","null","154","74","null","null","219","127","null","null","289","null","128","null","396","null","122","null","84","null","57","null",
"1400000US17031803604","Census Tract 8036.04, Cook County, Illinois","2235","null","175","null","37","null","29","null","212","83","null","null","187","67","null","null","239","96","null","null","351","null","105","null","212","null","86","null","396","null","136","null","114","59","null","null","139","70","null","null","141","null","55","null","170","null","66","null","37","null","36","null",
"1400000US17031803605","Census Tract 8036.05, Cook County, Illinois","3541","null","306","null","22","null","25","null","322","153","null","null","308","110","null","null","537","182","null","null","480","null","160","null","336","null","131","null","651","null","193","null","56","44","null","null","240","98","null","null","164","null","74","null","271","null","115","null","154","null","108","null",
"1400000US17031803606","Census Tract 8036.06, Cook County, Illinois","3723","null","455","null","0","null","16","null","361","177","null","null","821","307","null","null","336","172","null","null","456","null","178","null","347","null","129","null","802","null","284","null","126","95","null","null","66","56","null","null","224","null","111","null","113","null","77","null","71","null","69","null",
"1400000US17031803607","Census Tract 8036.07, Cook County, Illinois","2611","null","246","null","56","null","53","null","303","92","null","null","371","100","null","null","323","114","null","null","301","null","83","null","221","null","97","null","450","null","148","null","71","38","null","null","112","60","null","null","173","null","81","null","230","null","92","null","0","null","16","null",
"1400000US17031803608","Census Tract 8036.08, Cook County, Illinois","3621","null","362","null","62","null","86","null","221","137","null","null","382","154","null","null","493","167","null","null","417","null","139","null","280","null","133","null","795","null","194","null","51","42","null","null","175","94","null","null","347","null","129","null","263","null","129","null","135","null","108","null",
"1400000US17031803610","Census Tract 8036.10, Cook County, Illinois","4223","null","366","null","96","null","73","null","365","153","null","null","403","149","null","null","552","158","null","null","672","null","191","null","195","null","113","null","481","null","207","null","240","116","null","null","361","135","null","null","445","null","161","null","202","null","104","null","211","null","98","null",
"1400000US17031803611","Census Tract 8036.11, Cook County, Illinois","2877","null","298","null","0","null","16","null","204","77","null","null","460","171","null","null","233","110","null","null","525","null","174","null","252","null","98","null","567","null","209","null","86","57","null","null","120","78","null","null","211","null","97","null","152","null","87","null","67","null","69","null",
"1400000US17031803612","Census Tract 8036.12, Cook County, Illinois","2130","null","305","null","0","null","11","null","162","96","null","null","342","131","null","null","323","177","null","null","507","null","235","null","70","null","63","null","311","null","114","null","30","34","null","null","81","93","null","null","199","null","104","null","96","null","50","null","9","null","16","null",
"1400000US17031803701","Census Tract 8037.01, Cook County, Illinois","1435","null","178","null","7","null","11","null","52","34","null","null","124","74","null","null","152","87","null","null","272","null","119","null","81","null","54","null","229","null","74","null","17","18","null","null","215","118","null","null","147","null","83","null","81","null","52","null","58","null","50","null",
"1400000US17031803702","Census Tract 8037.02, Cook County, Illinois","3084","null","354","null","0","null","16","null","257","114","null","null","459","135","null","null","322","124","null","null","321","null","148","null","189","null","128","null","322","null","168","null","153","119","null","null","196","104","null","null","427","null","175","null","320","null","133","null","118","null","67","null",
"1400000US17031803800","Census Tract 8038, Cook County, Illinois","2555","null","244","null","115","null","127","null","342","108","null","null","448","124","null","null","495","153","null","null","208","null","79","null","113","null","72","null","331","null","103","null","51","37","null","null","99","52","null","null","200","null","74","null","109","null","55","null","44","null","42","null",
"1400000US17031803901","Census Tract 8039.01, Cook County, Illinois","1569","null","144","null","4","null","8","null","172","76","null","null","135","55","null","null","226","89","null","null","216","null","87","null","140","null","67","null","266","null","78","null","49","53","null","null","77","45","null","null","137","null","54","null","88","null","41","null","59","null","47","null",
"1400000US17031803902","Census Tract 8039.02, Cook County, Illinois","1720","null","180","null","38","null","28","null","253","75","null","null","231","71","null","null","138","54","null","null","184","null","87","null","68","null","43","null","329","null","88","null","15","18","null","null","140","79","null","null","238","null","88","null","69","null","41","null","17","null","27","null",
"1400000US17031804000","Census Tract 8040, Cook County, Illinois","2028","null","211","null","41","null","34","null","182","68","null","null","439","144","null","null","213","80","null","null","375","null","169","null","170","null","89","null","262","null","84","null","60","39","null","null","77","55","null","null","59","null","45","null","111","null","72","null","39","null","29","null",
"1400000US17031804102","Census Tract 8041.02, Cook County, Illinois","2715","null","298","null","33","null","39","null","166","97","null","null","358","128","null","null","411","147","null","null","374","null","129","null","160","null","80","null","303","null","112","null","138","82","null","null","234","118","null","null","267","null","115","null","167","null","91","null","104","null","52","null",
"1400000US17031804104","Census Tract 8041.04, Cook County, Illinois","2525","null","182","null","0","null","11","null","94","53","null","null","183","71","null","null","431","98","null","null","371","null","106","null","156","null","68","null","383","null","105","null","82","66","null","null","248","74","null","null","220","null","89","null","273","null","80","null","84","null","35","null",
"1400000US17031804105","Census Tract 8041.05, Cook County, Illinois","2339","null","234","null","0","null","11","null","69","52","null","null","311","134","null","null","398","97","null","null","313","null","99","null","118","null","75","null","273","null","86","null","38","33","null","null","149","69","null","null","324","null","121","null","252","null","96","null","94","null","54","null",
"1400000US17031804106","Census Tract 8041.06, Cook County, Illinois","3466","null","301","null","46","null","43","null","121","80","null","null","642","163","null","null","432","155","null","null","450","null","140","null","295","null","114","null","591","null","144","null","97","64","null","null","106","76","null","null","371","null","162","null","259","null","89","null","56","null","44","null",
"1400000US17031804108","Census Tract 8041.08, Cook County, Illinois","2456","null","318","null","123","null","102","null","455","179","null","null","476","176","null","null","120","67","null","null","319","null","163","null","152","null","100","null","311","null","158","null","39","37","null","null","150","121","null","null","57","null","42","null","187","null","89","null","67","null","80","null",
"1400000US17031804109","Census Tract 8041.09, Cook County, Illinois","1392","null","138","null","5","null","10","null","68","46","null","null","269","93","null","null","240","116","null","null","197","null","108","null","36","null","42","null","218","null","78","null","90","65","null","null","15","15","null","null","146","null","97","null","70","null","49","null","38","null","43","null",
"1400000US17031804201","Census Tract 8042.01, Cook County, Illinois","3277","null","278","null","74","null","49","null","317","166","null","null","330","120","null","null","395","132","null","null","439","null","156","null","141","null","68","null","467","null","162","null","108","111","null","null","271","131","null","null","441","null","182","null","184","null","78","null","110","null","74","null",
"1400000US17031804202","Census Tract 8042.02, Cook County, Illinois","3293","null","234","null","29","null","47","null","295","149","null","null","225","98","null","null","473","145","null","null","470","null","179","null","175","null","109","null","349","null","122","null","146","77","null","null","268","122","null","null","366","null","129","null","466","null","153","null","31","null","30","null",
"1400000US17031804305","Census Tract 8043.05, Cook County, Illinois","4360","null","514","null","18","null","28","null","222","111","null","null","378","182","null","null","556","187","null","null","737","null","228","null","471","null","234","null","664","null","248","null","156","110","null","null","267","110","null","null","274","null","159","null","505","null","202","null","112","null","100","null",
"1400000US17031804306","Census Tract 8043.06, Cook County, Illinois","2928","null","319","null","0","null","16","null","275","156","null","null","267","93","null","null","303","101","null","null","484","null","154","null","210","null","81","null","606","null","288","null","94","59","null","null","134","73","null","null","235","null","98","null","205","null","109","null","115","null","72","null",
"1400000US17031804308","Census Tract 8043.08, Cook County, Illinois","3049","null","352","null","15","null","25","null","78","64","null","null","144","83","null","null","471","155","null","null","508","null","157","null","319","null","124","null","406","null","182","null","85","63","null","null","186","87","null","null","424","null","159","null","315","null","121","null","98","null","77","null",
