"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_001MA","B08303_001EA","B08303_002E","B08303_002M","B08303_002MA","B08303_002EA","B08303_003E","B08303_003M","B08303_003MA","B08303_003EA","B08303_004E","B08303_004EA","B08303_004M","B08303_004MA","B08303_005E","B08303_005EA","B08303_005M","B08303_005MA","B08303_006E","B08303_006EA","B08303_006M","B08303_006MA","B08303_007E","B08303_007M","B08303_007MA","B08303_007EA","B08303_008E","B08303_008EA","B08303_008M","B08303_008MA","B08303_009E","B08303_009EA","B08303_009M","B08303_009MA","B08303_010E","B08303_010EA","B08303_010M","B08303_010MA","B08303_011E","B08303_011EA","B08303_011M","B08303_011MA","B08303_012E","B08303_012M","B08303_012MA","B08303_012EA","B08303_013E","B08303_013EA","B08303_013M","B08303_013MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Less than 5 minutes","Margin of Error!!Total!!Less than 5 minutes","Annotation of Margin of Error!!Total!!Less than 5 minutes","Annotation of Estimate!!Total!!Less than 5 minutes","Estimate!!Total!!5 to 9 minutes","Margin of Error!!Total!!5 to 9 minutes","Annotation of Margin of Error!!Total!!5 to 9 minutes","Annotation of Estimate!!Total!!5 to 9 minutes","Estimate!!Total!!10 to 14 minutes","Annotation of Estimate!!Total!!10 to 14 minutes","Margin of Error!!Total!!10 to 14 minutes","Annotation of Margin of Error!!Total!!10 to 14 minutes","Estimate!!Total!!15 to 19 minutes","Annotation of Estimate!!Total!!15 to 19 minutes","Margin of Error!!Total!!15 to 19 minutes","Annotation of Margin of Error!!Total!!15 to 19 minutes","Estimate!!Total!!20 to 24 minutes","Annotation of Estimate!!Total!!20 to 24 minutes","Margin of Error!!Total!!20 to 24 minutes","Annotation of Margin of Error!!Total!!20 to 24 minutes","Estimate!!Total!!25 to 29 minutes","Margin of Error!!Total!!25 to 29 minutes","Annotation of Margin of Error!!Total!!25 to 29 minutes","Annotation of Estimate!!Total!!25 to 29 minutes","Estimate!!Total!!30 to 34 minutes","Annotation of Estimate!!Total!!30 to 34 minutes","Margin of Error!!Total!!30 to 34 minutes","Annotation of Margin of Error!!Total!!30 to 34 minutes","Estimate!!Total!!35 to 39 minutes","Annotation of Estimate!!Total!!35 to 39 minutes","Margin of Error!!Total!!35 to 39 minutes","Annotation of Margin of Error!!Total!!35 to 39 minutes","Estimate!!Total!!40 to 44 minutes","Annotation of Estimate!!Total!!40 to 44 minutes","Margin of Error!!Total!!40 to 44 minutes","Annotation of Margin of Error!!Total!!40 to 44 minutes","Estimate!!Total!!45 to 59 minutes","Annotation of Estimate!!Total!!45 to 59 minutes","Margin of Error!!Total!!45 to 59 minutes","Annotation of Margin of Error!!Total!!45 to 59 minutes","Estimate!!Total!!60 to 89 minutes","Margin of Error!!Total!!60 to 89 minutes","Annotation of Margin of Error!!Total!!60 to 89 minutes","Annotation of Estimate!!Total!!60 to 89 minutes","Estimate!!Total!!90 or more minutes","Annotation of Estimate!!Total!!90 or more minutes","Margin of Error!!Total!!90 or more minutes","Annotation of Margin of Error!!Total!!90 or more minutes",
"1400000US17031805600","Census Tract 8056, Cook County, Illinois","1951","193","null","null","72","43","null","null","143","76","null","null","162","null","62","null","187","null","70","null","127","null","48","null","126","57","null","null","310","null","94","null","70","null","48","null","142","null","50","null","418","null","153","null","166","69","null","null","28","null","20","null",
"1400000US17031805701","Census Tract 8057.01, Cook County, Illinois","2288","184","null","null","25","23","null","null","155","90","null","null","260","null","78","null","166","null","67","null","291","null","85","null","179","103","null","null","292","null","81","null","131","null","90","null","108","null","59","null","355","null","97","null","298","94","null","null","28","null","25","null",
"1400000US17031805702","Census Tract 8057.02, Cook County, Illinois","895","92","null","null","4","7","null","null","87","44","null","null","138","null","58","null","66","null","33","null","81","null","49","null","31","19","null","null","123","null","43","null","66","null","35","null","39","null","23","null","95","null","56","null","144","49","null","null","21","null","19","null",
"1400000US17031805801","Census Tract 8058.01, Cook County, Illinois","1068","132","null","null","9","13","null","null","69","38","null","null","96","null","56","null","45","null","40","null","133","null","60","null","81","38","null","null","173","null","58","null","63","null","48","null","71","null","37","null","220","null","64","null","104","63","null","null","4","null","8","null",
"1400000US17031805802","Census Tract 8058.02, Cook County, Illinois","2318","173","null","null","27","29","null","null","206","100","null","null","322","null","106","null","193","null","72","null","258","null","105","null","139","59","null","null","422","null","118","null","187","null","74","null","141","null","90","null","189","null","76","null","181","69","null","null","53","null","41","null",
"1400000US17031805901","Census Tract 8059.01, Cook County, Illinois","2159","220","null","null","54","47","null","null","91","57","null","null","212","null","79","null","418","null","131","null","205","null","101","null","164","85","null","null","473","null","120","null","92","null","60","null","46","null","27","null","174","null","60","null","192","83","null","null","38","null","45","null",
"1400000US17031805902","Census Tract 8059.02, Cook County, Illinois","2929","273","null","null","29","34","null","null","167","118","null","null","383","null","130","null","426","null","166","null","260","null","184","null","131","91","null","null","528","null","154","null","228","null","120","null","168","null","99","null","195","null","92","null","391","132","null","null","23","null","31","null",
"1400000US17031806001","Census Tract 8060.01, Cook County, Illinois","3109","356","null","null","33","38","null","null","219","126","null","null","310","null","195","null","428","null","151","null","533","null","201","null","400","147","null","null","464","null","178","null","150","null","111","null","228","null","123","null","214","null","203","null","118","111","null","null","12","null","21","null",
"1400000US17031806002","Census Tract 8060.02, Cook County, Illinois","3361","360","null","null","55","61","null","null","170","100","null","null","221","null","108","null","421","null","163","null","602","null","188","null","260","135","null","null","785","null","199","null","98","null","63","null","106","null","73","null","278","null","113","null","237","101","null","null","128","null","98","null",
"1400000US17031806003","Census Tract 8060.03, Cook County, Illinois","3515","453","null","null","0","15","null","null","187","100","null","null","397","null","210","null","505","null","219","null","535","null","285","null","206","120","null","null","692","null","185","null","65","null","56","null","231","null","164","null","266","null","113","null","248","138","null","null","183","null","134","null",
"1400000US17031806004","Census Tract 8060.04, Cook County, Illinois","3275","295","null","null","0","15","null","null","177","101","null","null","536","null","205","null","619","null","277","null","601","null","186","null","183","97","null","null","452","null","189","null","90","null","85","null","141","null","107","null","325","null","136","null","107","86","null","null","44","null","42","null",
"1400000US17031806102","Census Tract 8061.02, Cook County, Illinois","2100","213","null","null","19","33","null","null","141","66","null","null","149","null","77","null","348","null","142","null","297","null","110","null","151","73","null","null","344","null","99","null","90","null","52","null","44","null","30","null","267","null","104","null","191","65","null","null","59","null","53","null",
"1400000US17031806103","Census Tract 8061.03, Cook County, Illinois","2498","177","null","null","8","12","null","null","213","96","null","null","306","null","111","null","299","null","83","null","407","null","111","null","226","82","null","null","352","null","86","null","49","null","32","null","99","null","54","null","306","null","109","null","169","60","null","null","64","null","42","null",
"1400000US17031806104","Census Tract 8061.04, Cook County, Illinois","2137","297","null","null","18","20","null","null","45","52","null","null","255","null","108","null","378","null","152","null","434","null","132","null","151","84","null","null","218","null","81","null","91","null","66","null","190","null","115","null","134","null","76","null","121","72","null","null","102","null","67","null",
"1400000US17031806201","Census Tract 8062.01, Cook County, Illinois","2504","300","null","null","0","11","null","null","108","96","null","null","229","null","94","null","222","null","111","null","467","null","195","null","326","174","null","null","512","null","159","null","112","null","92","null","102","null","73","null","280","null","131","null","89","71","null","null","57","null","55","null",
