"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_001MA","B08303_001EA","B08303_002E","B08303_002M","B08303_002MA","B08303_002EA","B08303_003E","B08303_003EA","B08303_003M","B08303_003MA","B08303_004E","B08303_004EA","B08303_004M","B08303_004MA","B08303_005E","B08303_005EA","B08303_005M","B08303_005MA","B08303_006E","B08303_006EA","B08303_006M","B08303_006MA","B08303_007E","B08303_007EA","B08303_007M","B08303_007MA","B08303_008E","B08303_008M","B08303_008MA","B08303_008EA","B08303_009E","B08303_009M","B08303_009MA","B08303_009EA","B08303_010E","B08303_010EA","B08303_010M","B08303_010MA","B08303_011E","B08303_011EA","B08303_011M","B08303_011MA","B08303_012E","B08303_012EA","B08303_012M","B08303_012MA","B08303_013E","B08303_013EA","B08303_013M","B08303_013MA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Annotation of Margin of Error!!Total:!!Less than 5 minutes","Annotation of Estimate!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Annotation of Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Annotation of Margin of Error!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Annotation of Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Annotation of Margin of Error!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Annotation of Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Annotation of Margin of Error!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Annotation of Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Annotation of Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Annotation of Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Annotation of Margin of Error!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Annotation of Margin of Error!!Total:!!30 to 34 minutes","Annotation of Estimate!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Annotation of Margin of Error!!Total:!!35 to 39 minutes","Annotation of Estimate!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Annotation of Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Annotation of Margin of Error!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Annotation of Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Annotation of Margin of Error!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Annotation of Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Annotation of Margin of Error!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Annotation of Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes","Annotation of Margin of Error!!Total:!!90 or more minutes",
"1400000US17031410200","Census Tract 4102, Cook County, Illinois","694","176","null","null","20","21","null","null","25","null","29","null","48","null","33","null","181","null","76","null","151","null","67","null","49","null","30","null","46","33","null","null","42","42","null","null","18","null","16","null","38","null","33","null","70","null","87","null","6","null","9","null",
"1400000US17031410500","Census Tract 4105, Cook County, Illinois","1682","298","null","null","10","21","null","null","147","null","86","null","168","null","77","null","243","null","125","null","345","null","156","null","58","null","66","null","169","90","null","null","28","30","null","null","63","null","62","null","199","null","102","null","227","null","145","null","25","null","36","null",
"1400000US17031410600","Census Tract 4106, Cook County, Illinois","906","217","null","null","2","6","null","null","107","null","62","null","142","null","77","null","160","null","80","null","102","null","61","null","32","null","32","null","97","52","null","null","12","14","null","null","20","null","28","null","108","null","60","null","98","null","61","null","26","null","36","null",
"1400000US17031410700","Census Tract 4107, Cook County, Illinois","1229","210","null","null","1","2","null","null","142","null","88","null","202","null","102","null","230","null","83","null","170","null","80","null","144","null","70","null","95","78","null","null","0","12","null","null","9","null","14","null","80","null","56","null","141","null","83","null","15","null","16","null",
"1400000US17031410800","Census Tract 4108, Cook County, Illinois","1368","335","null","null","12","17","null","null","103","null","70","null","103","null","47","null","238","null","83","null","210","null","76","null","133","null","150","null","154","65","null","null","51","43","null","null","55","null","55","null","188","null","156","null","55","null","35","null","66","null","42","null",
"1400000US17031410900","Census Tract 4109, Cook County, Illinois","1397","204","null","null","47","41","null","null","62","null","44","null","177","null","64","null","239","null","93","null","104","null","54","null","98","null","58","null","213","97","null","null","62","41","null","null","104","null","62","null","125","null","56","null","118","null","63","null","48","null","43","null",
"1400000US17031411000","Census Tract 4110, Cook County, Illinois","1179","236","null","null","20","29","null","null","41","null","44","null","221","null","82","null","120","null","68","null","226","null","160","null","41","null","48","null","217","128","null","null","39","44","null","null","55","null","46","null","82","null","68","null","95","null","87","null","22","null","35","null",
"1400000US17031411100","Census Tract 4111, Cook County, Illinois","836","177","null","null","10","21","null","null","128","null","54","null","122","null","63","null","237","null","73","null","74","null","37","null","30","null","35","null","82","42","null","null","35","35","null","null","42","null","23","null","39","null","27","null","11","null","13","null","26","null","32","null",
"1400000US17031411200","Census Tract 4112, Cook County, Illinois","658","89","null","null","16","17","null","null","88","null","38","null","187","null","66","null","119","null","49","null","84","null","51","null","25","null","16","null","66","41","null","null","0","12","null","null","46","null","25","null","22","null","17","null","0","null","12","null","5","null","7","null",
"1400000US17031420100","Census Tract 4201, Cook County, Illinois","472","143","null","null","0","12","null","null","19","null","22","null","73","null","43","null","65","null","56","null","83","null","69","null","22","null","25","null","86","49","null","null","4","5","null","null","34","null","30","null","59","null","53","null","27","null","28","null","0","null","12","null",
"1400000US17031420200","Census Tract 4202, Cook County, Illinois","554","150","null","null","15","16","null","null","35","null","31","null","24","null","21","null","168","null","95","null","52","null","33","null","50","null","34","null","30","25","null","null","40","32","null","null","48","null","35","null","44","null","46","null","14","null","15","null","34","null","23","null",
"1400000US17031420300","Census Tract 4203, Cook County, Illinois","795","133","null","null","28","35","null","null","167","null","76","null","84","null","51","null","147","null","63","null","59","null","36","null","0","null","12","null","79","51","null","null","9","10","null","null","21","null","17","null","84","null","49","null","65","null","54","null","52","null","44","null",
