"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_001MA","B08303_001EA","B08303_002E","B08303_002M","B08303_002MA","B08303_002EA","B08303_003E","B08303_003EA","B08303_003M","B08303_003MA","B08303_004E","B08303_004EA","B08303_004M","B08303_004MA","B08303_005E","B08303_005EA","B08303_005M","B08303_005MA","B08303_006E","B08303_006EA","B08303_006M","B08303_006MA","B08303_007E","B08303_007EA","B08303_007M","B08303_007MA","B08303_008E","B08303_008EA","B08303_008M","B08303_008MA","B08303_009E","B08303_009EA","B08303_009M","B08303_009MA","B08303_010E","B08303_010EA","B08303_010M","B08303_010MA","B08303_011E","B08303_011EA","B08303_011M","B08303_011MA","B08303_012E","B08303_012EA","B08303_012M","B08303_012MA","B08303_013E","B08303_013M","B08303_013MA","B08303_013EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Annotation of Margin of Error!!Total:!!Less than 5 minutes","Annotation of Estimate!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Annotation of Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Annotation of Margin of Error!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Annotation of Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Annotation of Margin of Error!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Annotation of Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Annotation of Margin of Error!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Annotation of Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Annotation of Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Annotation of Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Annotation of Margin of Error!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Annotation of Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Annotation of Margin of Error!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Annotation of Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Annotation of Margin of Error!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Annotation of Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Annotation of Margin of Error!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Annotation of Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Annotation of Margin of Error!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Annotation of Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Annotation of Margin of Error!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes","Annotation of Margin of Error!!Total:!!90 or more minutes","Annotation of Estimate!!Total:!!90 or more minutes",
"1400000US17031835700","Census Tract 8357, Cook County, Illinois","53","63","null","null","0","11","null","null","0","null","11","null","0","null","11","null","21","null","33","null","0","null","11","null","15","null","25","null","17","null","26","null","0","null","11","null","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null",
"1400000US17031835800","Census Tract 8358, Cook County, Illinois","687","130","null","null","4","8","null","null","10","null","14","null","9","null","12","null","74","null","42","null","129","null","69","null","9","null","13","null","137","null","76","null","28","null","23","null","0","null","11","null","122","null","57","null","151","null","77","null","14","16","null","null",
"1400000US17031835900","Census Tract 8359, Cook County, Illinois","1017","223","null","null","32","37","null","null","113","null","68","null","179","null","87","null","132","null","104","null","143","null","67","null","10","null","17","null","129","null","86","null","12","null","18","null","0","null","11","null","94","null","66","null","75","null","70","null","98","87","null","null",
"1400000US17031836000","Census Tract 8360, Cook County, Illinois","1152","185","null","null","0","11","null","null","42","null","38","null","55","null","37","null","145","null","92","null","74","null","56","null","33","null","25","null","156","null","70","null","54","null","57","null","114","null","52","null","131","null","61","null","215","null","109","null","133","72","null","null",
"1400000US17031836100","Census Tract 8361, Cook County, Illinois","571","128","null","null","0","11","null","null","23","null","33","null","7","null","15","null","84","null","54","null","53","null","39","null","23","null","19","null","135","null","81","null","37","null","31","null","8","null","11","null","133","null","55","null","37","null","43","null","31","29","null","null",
"1400000US17031836200","Census Tract 8362, Cook County, Illinois","305","99","null","null","37","37","null","null","95","null","47","null","67","null","34","null","21","null","17","null","18","null","17","null","0","null","11","null","15","null","17","null","1","null","2","null","4","null","7","null","8","null","10","null","39","null","28","null","0","11","null","null",
"1400000US17031836300","Census Tract 8363, Cook County, Illinois","716","151","null","null","3","9","null","null","44","null","37","null","120","null","54","null","100","null","54","null","128","null","67","null","32","null","20","null","116","null","48","null","7","null","10","null","50","null","37","null","75","null","29","null","24","null","26","null","17","18","null","null",
"1400000US17031836400","Census Tract 8364, Cook County, Illinois","1399","194","null","null","0","11","null","null","192","null","97","null","30","null","27","null","262","null","93","null","159","null","77","null","95","null","54","null","138","null","75","null","12","null","19","null","88","null","53","null","179","null","92","null","217","null","96","null","27","35","null","null",
"1400000US17031836500","Census Tract 8365, Cook County, Illinois","780","142","null","null","0","11","null","null","33","null","31","null","73","null","51","null","113","null","73","null","122","null","68","null","10","null","17","null","37","null","32","null","34","null","53","null","37","null","38","null","103","null","54","null","124","null","90","null","94","75","null","null",
"1400000US17031836600","Census Tract 8366, Cook County, Illinois","1110","259","null","null","0","11","null","null","0","null","11","null","123","null","94","null","73","null","62","null","35","null","42","null","83","null","51","null","160","null","113","null","47","null","46","null","85","null","81","null","252","null","105","null","229","null","123","null","23","39","null","null",
"1400000US17031836700","Census Tract 8367, Cook County, Illinois","960","180","null","null","6","10","null","null","10","null","14","null","92","null","46","null","129","null","99","null","265","null","126","null","4","null","8","null","175","null","75","null","17","null","19","null","20","null","31","null","142","null","70","null","78","null","54","null","22","22","null","null",
"1400000US17031836800","Census Tract 8368, Cook County, Illinois","569","146","null","null","0","11","null","null","0","null","11","null","120","null","87","null","112","null","61","null","68","null","60","null","0","null","11","null","109","null","64","null","10","null","14","null","30","null","30","null","72","null","59","null","19","null","23","null","29","36","null","null",
