"GEO_ID","NAME","B08301_001E","B08301_001EA","B08301_001M","B08301_001MA","B08301_002E","B08301_002M","B08301_002MA","B08301_002EA","B08301_003E","B08301_003EA","B08301_003M","B08301_003MA","B08301_004E","B08301_004EA","B08301_004M","B08301_004MA","B08301_005E","B08301_005EA","B08301_005M","B08301_005MA","B08301_006E","B08301_006EA","B08301_006M","B08301_006MA","B08301_007E","B08301_007EA","B08301_007M","B08301_007MA","B08301_008E","B08301_008EA","B08301_008M","B08301_008MA","B08301_009E","B08301_009EA","B08301_009M","B08301_009MA","B08301_010E","B08301_010EA","B08301_010M","B08301_010MA","B08301_011E","B08301_011M","B08301_011MA","B08301_011EA","B08301_012E","B08301_012M","B08301_012MA","B08301_012EA","B08301_013E","B08301_013EA","B08301_013M","B08301_013MA","B08301_014E","B08301_014EA","B08301_014M","B08301_014MA","B08301_015E","B08301_015EA","B08301_015M","B08301_015MA","B08301_016E","B08301_016EA","B08301_016M","B08301_016MA","B08301_017E","B08301_017EA","B08301_017M","B08301_017MA","B08301_018E","B08301_018M","B08301_018MA","B08301_018EA","B08301_019E","B08301_019EA","B08301_019M","B08301_019MA","B08301_020E","B08301_020M","B08301_020MA","B08301_020EA","B08301_021E","B08301_021EA","B08301_021M","B08301_021MA",
"1400000US17031804611","Census Tract 8046.11, Cook County, Illinois","2262","null","253","null","1929","246","null","null","1770","null","251","null","159","null","69","null","136","null","68","null","7","null","11","null","0","null","12","null","16","null","24","null","0","null","12","null","81","null","49","null","12","19","null","null","0","12","null","null","69","null","46","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","32","null","30","null","35","30","null","null","185","null","82","null",
"1400000US17031804701","Census Tract 8047.01, Cook County, Illinois","3184","null","421","null","2535","372","null","null","2258","null","359","null","277","null","145","null","242","null","132","null","35","null","86","null","0","null","17","null","0","null","17","null","0","null","17","null","106","null","100","null","35","51","null","null","17","25","null","null","54","null","72","null","0","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","43","67","null","null","25","null","38","null","47","43","null","null","428","null","257","null",
"1400000US17031804705","Census Tract 8047.05, Cook County, Illinois","2436","null","439","null","1974","359","null","null","1750","null","313","null","224","null","141","null","181","null","79","null","43","null","87","null","0","null","12","null","0","null","12","null","0","null","12","null","52","null","49","null","9","14","null","null","0","12","null","null","43","null","48","null","0","null","12","null","0","null","12","null","23","null","37","null","0","null","12","null","30","39","null","null","7","null","12","null","35","42","null","null","315","null","234","null",
"1400000US17031804706","Census Tract 8047.06, Cook County, Illinois","1150","null","111","null","990","113","null","null","901","null","107","null","89","null","44","null","74","null","41","null","8","null","12","null","0","null","12","null","0","null","12","null","7","null","11","null","26","null","27","null","0","12","null","null","0","12","null","null","26","null","27","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","5","7","null","null","5","null","7","null","0","12","null","null","124","null","43","null",
"1400000US17031804709","Census Tract 8047.09, Cook County, Illinois","4078","null","671","null","3649","562","null","null","3065","null","572","null","584","null","228","null","447","null","186","null","137","null","115","null","0","null","17","null","0","null","17","null","0","null","17","null","108","null","95","null","48","80","null","null","25","40","null","null","35","null","37","null","0","null","17","null","0","null","17","null","12","null","19","null","0","null","17","null","0","17","null","null","10","null","16","null","0","17","null","null","299","null","296","null",
"1400000US17031804710","Census Tract 8047.10, Cook County, Illinois","2321","null","238","null","2013","232","null","null","1872","null","207","null","141","null","88","null","130","null","91","null","11","null","16","null","0","null","12","null","0","null","12","null","0","null","12","null","63","null","54","null","0","12","null","null","0","12","null","null","63","null","54","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","12","null","20","null","0","12","null","null","233","null","96","null",
"1400000US17031804711","Census Tract 8047.11, Cook County, Illinois","4021","null","489","null","3369","472","null","null","3137","null","435","null","232","null","129","null","204","null","117","null","16","null","25","null","12","null","21","null","0","null","17","null","0","null","17","null","213","null","128","null","0","17","null","null","0","17","null","null","213","null","128","null","0","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","0","17","null","null","0","null","17","null","14","22","null","null","425","null","175","null",
"1400000US17031804712","Census Tract 8047.12, Cook County, Illinois","2682","null","345","null","2217","341","null","null","2130","null","334","null","87","null","52","null","67","null","47","null","20","null","22","null","0","null","17","null","0","null","17","null","0","null","17","null","121","null","62","null","0","17","null","null","9","17","null","null","112","null","60","null","0","null","17","null","0","null","17","null","21","null","25","null","0","null","17","null","0","17","null","null","9","null","15","null","60","46","null","null","254","null","88","null",
"1400000US17031804713","Census Tract 8047.13, Cook County, Illinois","3020","null","565","null","2128","445","null","null","1985","null","404","null","143","null","116","null","124","null","109","null","19","null","31","null","0","null","17","null","0","null","17","null","0","null","17","null","200","null","113","null","57","63","null","null","17","27","null","null","126","null","97","null","0","null","17","null","0","null","17","null","68","null","103","null","0","null","17","null","0","17","null","null","13","null","22","null","204","180","null","null","407","null","278","null",
"1400000US17031804714","Census Tract 8047.14, Cook County, Illinois","1732","null","365","null","1441","331","null","null","1291","null","343","null","150","null","85","null","123","null","74","null","12","null","17","null","0","null","12","null","0","null","12","null","15","null","24","null","90","null","52","null","0","12","null","null","32","30","null","null","58","null","43","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","8","null","12","null","11","16","null","null","182","null","122","null",
"1400000US17031804715","Census Tract 8047.15, Cook County, Illinois","1822","null","386","null","1623","376","null","null","1452","null","318","null","171","null","149","null","156","null","128","null","15","null","25","null","0","null","12","null","0","null","12","null","0","null","12","null","14","null","23","null","0","12","null","null","0","12","null","null","14","null","23","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","10","null","17","null","57","44","null","null","118","null","101","null",
"1400000US17031804716","Census Tract 8047.16, Cook County, Illinois","2421","null","290","null","2010","255","null","null","1781","null","264","null","229","null","120","null","169","null","85","null","60","null","76","null","0","null","12","null","0","null","12","null","0","null","12","null","96","null","68","null","46","50","null","null","8","13","null","null","42","null","38","null","0","null","12","null","0","null","12","null","8","null","14","null","0","null","12","null","0","12","null","null","0","null","12","null","21","34","null","null","286","null","94","null",
"1400000US17031804803","Census Tract 8048.03, Cook County, Illinois","2662","null","497","null","2272","375","null","null","2154","null","371","null","118","null","77","null","97","null","72","null","0","null","17","null","0","null","17","null","0","null","17","null","21","null","35","null","32","null","39","null","0","17","null","null","16","29","null","null","16","null","28","null","0","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","0","17","null","null","14","null","23","null","0","17","null","null","344","null","201","null",
"1400000US17031804804","Census Tract 8048.04, Cook County, Illinois","3440","null","427","null","2733","404","null","null","2659","null","418","null","74","null","73","null","74","null","73","null","0","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","247","null","113","null","73","72","null","null","24","30","null","null","132","null","93","null","0","null","17","null","18","null","29","null","0","null","17","null","0","null","17","null","0","17","null","null","48","null","66","null","0","17","null","null","412","null","178","null",
"1400000US17031804805","Census Tract 8048.05, Cook County, Illinois","3829","null","456","null","3359","440","null","null","2693","null","394","null","666","null","374","null","354","null","217","null","102","null","153","null","0","null","17","null","210","null","269","null","0","null","17","null","118","null","84","null","67","80","null","null","39","38","null","null","12","null","19","null","0","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","20","32","null","null","26","null","35","null","0","17","null","null","306","null","190","null",
"1400000US17031804806","Census Tract 8048.06, Cook County, Illinois","1696","null","334","null","1472","264","null","null","1095","null","217","null","377","null","122","null","359","null","120","null","8","null","13","null","0","null","12","null","10","null","18","null","0","null","12","null","91","null","70","null","41","53","null","null","0","12","null","null","50","null","37","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","98","null","80","null","19","22","null","null","16","null","16","null",
"1400000US17031804807","Census Tract 8048.07, Cook County, Illinois","2841","null","340","null","2297","218","null","null","2169","null","223","null","128","null","83","null","113","null","81","null","15","null","21","null","0","null","17","null","0","null","17","null","0","null","17","null","108","null","56","null","21","26","null","null","0","17","null","null","87","null","49","null","0","null","17","null","0","null","17","null","3","null","8","null","0","null","17","null","26","37","null","null","20","null","24","null","0","17","null","null","387","null","322","null",
"1400000US17031804808","Census Tract 8048.08, Cook County, Illinois","1427","null","344","null","1229","337","null","null","1086","null","324","null","143","null","80","null","77","null","46","null","58","null","72","null","3","null","6","null","5","null","9","null","0","null","12","null","29","null","20","null","0","12","null","null","0","12","null","null","29","null","20","null","0","null","12","null","0","null","12","null","5","null","8","null","0","null","12","null","0","12","null","null","24","null","25","null","0","12","null","null","140","null","40","null",
