"GEO_ID","NAME","B08301_001E","B08301_001EA","B08301_001M","B08301_001MA","B08301_002E","B08301_002M","B08301_002MA","B08301_002EA","B08301_003E","B08301_003EA","B08301_003M","B08301_003MA","B08301_004E","B08301_004EA","B08301_004M","B08301_004MA","B08301_005E","B08301_005M","B08301_005MA","B08301_005EA","B08301_006E","B08301_006EA","B08301_006M","B08301_006MA","B08301_007E","B08301_007EA","B08301_007M","B08301_007MA","B08301_008E","B08301_008M","B08301_008MA","B08301_008EA","B08301_009E","B08301_009EA","B08301_009M","B08301_009MA","B08301_010E","B08301_010EA","B08301_010M","B08301_010MA","B08301_011E","B08301_011M","B08301_011MA","B08301_011EA","B08301_012E","B08301_012M","B08301_012MA","B08301_012EA","B08301_013E","B08301_013EA","B08301_013M","B08301_013MA","B08301_014E","B08301_014M","B08301_014MA","B08301_014EA","B08301_015E","B08301_015M","B08301_015MA","B08301_015EA","B08301_016E","B08301_016EA","B08301_016M","B08301_016MA","B08301_017E","B08301_017EA","B08301_017M","B08301_017MA","B08301_018E","B08301_018EA","B08301_018M","B08301_018MA","B08301_019E","B08301_019M","B08301_019MA","B08301_019EA","B08301_020E","B08301_020M","B08301_020MA","B08301_020EA","B08301_021E","B08301_021EA","B08301_021M","B08301_021MA",
"1400000US17031671900","Census Tract 6719, Cook County, Illinois","414","null","117","null","305","116","null","null","245","null","90","null","60","null","55","null","38","48","null","null","3","null","6","null","0","null","11","null","19","28","null","null","0","null","11","null","91","null","60","null","76","51","null","null","0","11","null","null","15","null","20","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","4","6","null","null","14","null","20","null",
"1400000US17031672000","Census Tract 6720, Cook County, Illinois","1110","null","301","null","685","209","null","null","561","null","176","null","124","null","113","null","124","113","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","338","null","157","null","237","117","null","null","0","11","null","null","90","null","75","null","11","16","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","72","113","null","null","0","11","null","null","15","null","25","null",
"1400000US17031680500","Census Tract 6805, Cook County, Illinois","306","null","86","null","167","61","null","null","154","null","58","null","13","null","19","null","0","11","null","null","0","null","11","null","13","null","19","null","0","11","null","null","0","null","11","null","98","null","51","null","38","24","null","null","0","11","null","null","60","null","45","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","30","47","null","null","0","11","null","null","11","null","14","null",
"1400000US17031680600","Census Tract 6806, Cook County, Illinois","386","null","108","null","112","52","null","null","64","null","35","null","48","null","45","null","20","18","null","null","0","null","11","null","28","null","42","null","0","11","null","null","0","null","11","null","233","null","92","null","199","82","null","null","0","11","null","null","29","null","30","null","5","9","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","15","23","null","null","0","11","null","null","26","null","38","null",
"1400000US17031680900","Census Tract 6809, Cook County, Illinois","805","null","209","null","434","121","null","null","403","null","123","null","31","null","34","null","7","11","null","null","19","null","30","null","5","null","13","null","0","11","null","null","0","null","11","null","318","null","151","null","269","152","null","null","0","11","null","null","41","null","33","null","8","15","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","34","27","null","null","0","11","null","null","19","null","19","null",
"1400000US17031681000","Census Tract 6810, Cook County, Illinois","606","null","124","null","280","104","null","null","244","null","99","null","36","null","39","null","19","29","null","null","17","null","26","null","0","null","11","null","0","11","null","null","0","null","11","null","204","null","90","null","153","70","null","null","0","11","null","null","51","null","49","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","47","36","null","null","31","28","null","null","44","null","41","null",
"1400000US17031681100","Census Tract 6811, Cook County, Illinois","810","null","215","null","439","183","null","null","381","null","149","null","58","null","64","null","58","64","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","369","null","142","null","318","124","null","null","0","11","null","null","34","null","33","null","17","26","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","0","11","null","null","2","null","4","null",
"1400000US17031681200","Census Tract 6812, Cook County, Illinois","585","null","148","null","346","114","null","null","301","null","93","null","45","null","39","null","45","39","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","203","null","77","null","125","60","null","null","8","14","null","null","62","null","44","null","8","15","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","9","16","null","null","0","11","null","null","27","null","28","null",
"1400000US17031681300","Census Tract 6813, Cook County, Illinois","524","null","152","null","264","128","null","null","146","null","94","null","118","null","102","null","52","58","null","null","66","null","58","null","0","null","11","null","0","11","null","null","0","null","11","null","260","null","93","null","169","70","null","null","0","11","null","null","91","null","61","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","0","11","null","null","0","null","11","null",
"1400000US17031681400","Census Tract 6814, Cook County, Illinois","815","null","198","null","459","159","null","null","438","null","162","null","21","null","34","null","21","34","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","309","null","112","null","253","109","null","null","0","11","null","null","40","null","45","null","16","19","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","0","11","null","null","47","null","41","null",
"1400000US17031690300","Census Tract 6903, Cook County, Illinois","576","null","135","null","328","101","null","null","316","null","99","null","12","null","16","null","0","11","null","null","12","null","16","null","0","null","11","null","0","11","null","null","0","null","11","null","225","null","81","null","109","55","null","null","0","11","null","null","116","null","79","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","16","19","null","null","0","11","null","null","7","null","10","null",
"1400000US17031690400","Census Tract 6904, Cook County, Illinois","1029","null","239","null","650","183","null","null","597","null","185","null","53","null","37","null","43","33","null","null","10","null","16","null","0","null","11","null","0","11","null","null","0","null","11","null","321","null","142","null","203","92","null","null","0","11","null","null","118","null","107","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","9","null","14","null","13","20","null","null","0","11","null","null","36","null","44","null",
"1400000US17031690500","Census Tract 6905, Cook County, Illinois","373","null","125","null","189","78","null","null","134","null","69","null","55","null","44","null","11","12","null","null","0","null","11","null","0","null","11","null","44","44","null","null","0","null","11","null","141","null","56","null","86","42","null","null","0","11","null","null","55","null","44","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","38","55","null","null","0","11","null","null","5","null","8","null",
"1400000US17031690900","Census Tract 6909, Cook County, Illinois","1334","null","335","null","644","220","null","null","632","null","220","null","12","null","19","null","0","11","null","null","12","null","19","null","0","null","11","null","0","11","null","null","0","null","11","null","509","null","228","null","430","214","null","null","0","11","null","null","79","null","65","null","0","11","null","null","0","11","null","null","0","null","11","null","27","null","44","null","0","null","11","null","107","159","null","null","0","11","null","null","47","null","31","null",
"1400000US17031691000","Census Tract 6910, Cook County, Illinois","1224","null","200","null","848","197","null","null","752","null","160","null","96","null","63","null","9","14","null","null","30","null","38","null","0","null","11","null","57","58","null","null","0","null","11","null","262","null","114","null","200","96","null","null","0","11","null","null","62","null","70","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","58","54","null","null","8","12","null","null","48","null","35","null",
"1400000US17031691100","Census Tract 6911, Cook County, Illinois","804","null","190","null","396","152","null","null","323","null","128","null","73","null","73","null","56","66","null","null","0","null","11","null","17","null","28","null","0","11","null","null","0","null","11","null","333","null","139","null","253","130","null","null","0","11","null","null","67","null","42","null","0","11","null","null","13","18","null","null","0","null","11","null","0","null","11","null","0","null","11","null","22","27","null","null","0","11","null","null","53","null","47","null",
"1400000US17031691200","Census Tract 6912, Cook County, Illinois","1029","null","215","null","574","157","null","null","458","null","155","null","116","null","65","null","99","70","null","null","17","null","26","null","0","null","11","null","0","11","null","null","0","null","11","null","387","null","153","null","328","146","null","null","0","11","null","null","59","null","58","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","0","11","null","null","68","null","61","null",
"1400000US17031691300","Census Tract 6913, Cook County, Illinois","880","null","175","null","521","126","null","null","514","null","126","null","7","null","12","null","7","12","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","293","null","100","null","200","86","null","null","8","20","null","null","63","null","42","null","22","35","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","9","13","null","null","0","11","null","null","57","null","46","null",
"1400000US17031691400","Census Tract 6914, Cook County, Illinois","1069","null","229","null","746","207","null","null","643","null","191","null","103","null","98","null","17","30","null","null","86","null","89","null","0","null","11","null","0","11","null","null","0","null","11","null","211","null","97","null","185","88","null","null","0","11","null","null","26","null","31","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","45","44","null","null","12","21","null","null","55","null","46","null",
"1400000US17031691500","Census Tract 6915, Cook County, Illinois","647","null","147","null","372","117","null","null","331","null","117","null","41","null","32","null","11","17","null","null","30","null","28","null","0","null","11","null","0","11","null","null","0","null","11","null","186","null","68","null","129","62","null","null","0","11","null","null","57","null","49","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","65","37","null","null","0","11","null","null","24","null","21","null",
"1400000US17031700100","Census Tract 7001, Cook County, Illinois","1558","null","243","null","1325","254","null","null","1232","null","268","null","93","null","67","null","38","37","null","null","11","null","18","null","44","null","54","null","0","11","null","null","0","null","11","null","220","null","90","null","147","85","null","null","0","11","null","null","63","null","56","null","10","16","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","0","11","null","null","13","null","20","null",
"1400000US17031700200","Census Tract 7002, Cook County, Illinois","2675","null","374","null","2352","346","null","null","1729","null","285","null","623","null","261","null","559","249","null","null","64","null","55","null","0","null","15","null","0","15","null","null","0","null","15","null","273","null","95","null","114","79","null","null","0","15","null","null","84","null","47","null","75","72","null","null","0","15","null","null","0","null","15","null","0","null","15","null","0","null","15","null","30","34","null","null","0","15","null","null","20","null","32","null",
"1400000US17031700301","Census Tract 7003.01, Cook County, Illinois","2356","null","315","null","2124","284","null","null","1742","null","267","null","382","null","150","null","300","146","null","null","82","null","57","null","0","null","15","null","0","15","null","null","0","null","15","null","155","null","92","null","94","78","null","null","0","15","null","null","39","null","33","null","22","21","null","null","0","15","null","null","0","null","15","null","0","null","15","null","0","null","15","null","39","32","null","null","19","31","null","null","19","null","21","null",
"1400000US17031700302","Census Tract 7003.02, Cook County, Illinois","2642","null","390","null","2229","308","null","null","1841","null","265","null","388","null","189","null","344","187","null","null","24","null","27","null","20","null","34","null","0","15","null","null","0","null","15","null","302","null","120","null","216","126","null","null","0","15","null","null","86","null","61","null","0","15","null","null","0","15","null","null","0","null","15","null","28","null","44","null","0","null","15","null","69","66","null","null","0","15","null","null","14","null","17","null",
"1400000US17031700401","Census Tract 7004.01, Cook County, Illinois","2858","null","335","null","2393","343","null","null","2117","null","325","null","276","null","117","null","195","100","null","null","12","null","18","null","39","null","47","null","30","33","null","null","0","null","15","null","359","null","119","null","212","102","null","null","0","15","null","null","68","null","70","null","79","70","null","null","0","15","null","null","0","null","15","null","0","null","15","null","0","null","15","null","51","49","null","null","0","15","null","null","55","null","43","null",
"1400000US17031700402","Census Tract 7004.02, Cook County, Illinois","1702","null","207","null","1510","212","null","null","1321","null","209","null","189","null","93","null","178","94","null","null","11","null","17","null","0","null","11","null","0","11","null","null","0","null","11","null","159","null","104","null","51","48","null","null","0","11","null","null","94","null","80","null","14","20","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","14","23","null","null","0","11","null","null","19","null","25","null",
"1400000US17031700501","Census Tract 7005.01, Cook County, Illinois","3320","null","392","null","2402","323","null","null","2067","null","314","null","335","null","190","null","335","190","null","null","0","null","15","null","0","null","15","null","0","15","null","null","0","null","15","null","767","null","267","null","505","254","null","null","0","15","null","null","158","null","74","null","104","87","null","null","0","15","null","null","51","null","68","null","0","null","15","null","0","null","15","null","18","28","null","null","0","15","null","null","82","null","98","null",
"1400000US17031700502","Census Tract 7005.02, Cook County, Illinois","1246","null","210","null","952","194","null","null","855","null","198","null","97","null","82","null","82","73","null","null","15","null","20","null","0","null","11","null","0","11","null","null","0","null","11","null","259","null","125","null","98","94","null","null","10","15","null","null","123","null","75","null","28","26","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","15","25","null","null","0","11","null","null","20","null","30","null",
"1400000US17031710100","Census Tract 7101, Cook County, Illinois","295","null","106","null","95","46","null","null","95","null","46","null","0","null","11","null","0","11","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","165","null","71","null","147","71","null","null","0","11","null","null","6","null","10","null","12","20","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","30","29","null","null","0","11","null","null","5","null","8","null",
"1400000US17031710200","Census Tract 7102, Cook County, Illinois","1595","null","230","null","847","181","null","null","709","null","158","null","138","null","104","null","138","104","null","null","0","null","15","null","0","null","15","null","0","15","null","null","0","null","15","null","623","null","131","null","530","133","null","null","0","15","null","null","71","null","61","null","22","31","null","null","0","15","null","null","0","null","15","null","0","null","15","null","0","null","15","null","63","61","null","null","41","47","null","null","21","null","34","null",
"1400000US17031710300","Census Tract 7103, Cook County, Illinois","393","null","120","null","194","80","null","null","188","null","81","null","6","null","9","null","6","9","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","160","null","84","null","108","64","null","null","0","11","null","null","52","null","36","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","14","21","null","null","11","16","null","null","14","null","16","null",
"1400000US17031710400","Census Tract 7104, Cook County, Illinois","1609","null","274","null","1154","252","null","null","1050","null","236","null","104","null","73","null","64","53","null","null","40","null","38","null","0","null","15","null","0","15","null","null","0","null","15","null","382","null","194","null","253","134","null","null","0","15","null","null","96","null","122","null","33","57","null","null","0","15","null","null","0","null","15","null","0","null","15","null","0","null","15","null","10","15","null","null","0","15","null","null","63","null","63","null",
"1400000US17031710500","Census Tract 7105, Cook County, Illinois","1293","null","179","null","683","155","null","null","615","null","143","null","68","null","54","null","56","51","null","null","12","null","18","null","0","null","11","null","0","11","null","null","0","null","11","null","536","null","134","null","420","122","null","null","0","11","null","null","116","null","63","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","9","18","null","null","22","33","null","null","43","null","45","null",
"1400000US17031710600","Census Tract 7106, Cook County, Illinois","457","null","106","null","279","86","null","null","222","null","75","null","57","null","39","null","57","39","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","143","null","64","null","90","49","null","null","0","11","null","null","35","null","34","null","18","22","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","33","32","null","null","2","3","null","null","0","null","11","null",
"1400000US17031710700","Census Tract 7107, Cook County, Illinois","967","null","224","null","551","151","null","null","537","null","151","null","14","null","18","null","10","16","null","null","0","null","11","null","0","null","11","null","4","8","null","null","0","null","11","null","311","null","152","null","148","98","null","null","0","11","null","null","125","null","102","null","38","49","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","69","73","null","null","0","11","null","null","36","null","27","null",
"1400000US17031710800","Census Tract 7108, Cook County, Illinois","1522","null","361","null","921","264","null","null","776","null","241","null","145","null","110","null","129","106","null","null","0","null","11","null","0","null","11","null","16","27","null","null","0","null","11","null","424","null","176","null","361","168","null","null","0","11","null","null","63","null","74","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","52","64","null","null","34","63","null","null","91","null","145","null",
"1400000US17031710900","Census Tract 7109, Cook County, Illinois","555","null","98","null","350","56","null","null","323","null","58","null","27","null","25","null","27","25","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","163","null","72","null","124","66","null","null","0","11","null","null","39","null","31","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","6","10","null","null","36","null","38","null",
