"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_001MA","B08301_001EA","B08301_002E","B08301_002M","B08301_002MA","B08301_002EA","B08301_003E","B08301_003M","B08301_003MA","B08301_003EA","B08301_004E","B08301_004EA","B08301_004M","B08301_004MA","B08301_005E","B08301_005EA","B08301_005M","B08301_005MA","B08301_006E","B08301_006M","B08301_006MA","B08301_006EA","B08301_007E","B08301_007M","B08301_007MA","B08301_007EA","B08301_008E","B08301_008M","B08301_008MA","B08301_008EA","B08301_009E","B08301_009M","B08301_009MA","B08301_009EA","B08301_010E","B08301_010EA","B08301_010M","B08301_010MA","B08301_011E","B08301_011EA","B08301_011M","B08301_011MA","B08301_012E","B08301_012M","B08301_012MA","B08301_012EA","B08301_013E","B08301_013M","B08301_013MA","B08301_013EA","B08301_014E","B08301_014M","B08301_014MA","B08301_014EA","B08301_015E","B08301_015EA","B08301_015M","B08301_015MA","B08301_016E","B08301_016EA","B08301_016M","B08301_016MA","B08301_017E","B08301_017M","B08301_017MA","B08301_017EA","B08301_018E","B08301_018EA","B08301_018M","B08301_018MA","B08301_019E","B08301_019M","B08301_019MA","B08301_019EA","B08301_020E","B08301_020M","B08301_020MA","B08301_020EA","B08301_021E","B08301_021EA","B08301_021M","B08301_021MA",
"1400000US17031802503","Census Tract 8025.03, Cook County, Illinois","2851","286","null","null","2613","265","null","null","2402","250","null","null","211","null","117","null","190","null","110","null","21","25","null","null","0","16","null","null","0","16","null","null","0","16","null","null","57","null","47","null","0","null","16","null","0","16","null","null","0","16","null","null","57","47","null","null","0","null","16","null","0","null","16","null","0","16","null","null","0","null","16","null","55","51","null","null","17","28","null","null","109","null","73","null",
"1400000US17031802504","Census Tract 8025.04, Cook County, Illinois","3708","356","null","null","3453","382","null","null","2883","274","null","null","570","null","239","null","448","null","204","null","122","144","null","null","0","16","null","null","0","16","null","null","0","16","null","null","91","null","68","null","9","null","14","null","0","16","null","null","18","30","null","null","64","60","null","null","0","null","16","null","8","null","14","null","29","49","null","null","76","null","73","null","0","16","null","null","0","16","null","null","51","null","51","null",
"1400000US17031802505","Census Tract 8025.05, Cook County, Illinois","3491","408","null","null","3181","366","null","null","2677","366","null","null","504","null","247","null","359","null","154","null","128","133","null","null","17","27","null","null","0","16","null","null","0","16","null","null","42","null","48","null","15","null","24","null","0","16","null","null","0","16","null","null","27","42","null","null","0","null","16","null","0","null","16","null","0","16","null","null","18","null","29","null","14","22","null","null","0","16","null","null","236","null","164","null",
"1400000US17031802506","Census Tract 8025.06, Cook County, Illinois","1417","186","null","null","1313","189","null","null","1226","197","null","null","87","null","62","null","87","null","62","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","10","null","18","null","10","null","18","null","0","11","null","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","17","22","null","null","0","null","11","null","52","58","null","null","5","8","null","null","20","null","24","null",
"1400000US17031802605","Census Tract 8026.05, Cook County, Illinois","3453","362","null","null","2935","355","null","null","2722","351","null","null","213","null","124","null","189","null","118","null","24","38","null","null","0","16","null","null","0","16","null","null","0","16","null","null","182","null","105","null","2","null","4","null","0","16","null","null","12","19","null","null","168","101","null","null","0","null","16","null","0","null","16","null","0","16","null","null","0","null","16","null","33","38","null","null","0","16","null","null","303","null","197","null",
"1400000US17031802607","Census Tract 8026.07, Cook County, Illinois","576","132","null","null","511","130","null","null","492","116","null","null","19","null","21","null","19","null","21","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","43","null","35","null","6","null","10","null","0","11","null","null","0","11","null","null","37","33","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","22","null","23","null",
"1400000US17031802608","Census Tract 8026.08, Cook County, Illinois","3212","305","null","null","2929","304","null","null","2549","331","null","null","380","null","181","null","353","null","175","null","27","43","null","null","0","16","null","null","0","16","null","null","0","16","null","null","53","null","43","null","0","null","16","null","0","16","null","null","14","21","null","null","39","37","null","null","0","null","16","null","14","null","22","null","0","16","null","null","0","null","16","null","0","16","null","null","0","16","null","null","216","null","172","null",
"1400000US17031802609","Census Tract 8026.09, Cook County, Illinois","2983","387","null","null","2756","396","null","null","2260","327","null","null","496","null","269","null","371","null","212","null","125","117","null","null","0","16","null","null","0","16","null","null","0","16","null","null","87","null","81","null","74","null","79","null","0","16","null","null","0","16","null","null","13","20","null","null","0","null","16","null","0","null","16","null","0","16","null","null","0","null","16","null","20","17","null","null","17","27","null","null","103","null","80","null",
"1400000US17031802610","Census Tract 8026.10, Cook County, Illinois","706","107","null","null","613","113","null","null","610","114","null","null","3","null","5","null","3","null","5","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","40","null","38","null","0","null","11","null","0","11","null","null","0","11","null","null","40","38","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","8","13","null","null","0","11","null","null","45","null","38","null",
"1400000US17031802701","Census Tract 8027.01, Cook County, Illinois","3128","251","null","null","2874","272","null","null","2643","248","null","null","231","null","148","null","230","null","148","null","1","3","null","null","0","16","null","null","0","16","null","null","0","16","null","null","158","null","80","null","14","null","24","null","0","16","null","null","19","30","null","null","125","76","null","null","0","null","16","null","0","null","16","null","0","16","null","null","14","null","24","null","21","24","null","null","9","19","null","null","52","null","47","null",
"1400000US17031802702","Census Tract 8027.02, Cook County, Illinois","2589","233","null","null","2183","243","null","null","1959","233","null","null","224","null","99","null","163","null","77","null","61","66","null","null","0","16","null","null","0","16","null","null","0","16","null","null","189","null","80","null","31","null","30","null","0","16","null","null","36","34","null","null","122","67","null","null","0","null","16","null","11","null","17","null","7","11","null","null","15","null","19","null","38","22","null","null","54","85","null","null","92","null","51","null",
