"GEO_ID","NAME","B25077_001E","B25077_001M","B25077_001MA","B25077_001EA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"1400000US17031071700","Census Tract 717, Cook County, Illinois","830800","71882","null","null",
"1400000US17031071800","Census Tract 718, Cook County, Illinois","745800","105097","null","null",
"1400000US17031080100","Census Tract 801, Cook County, Illinois","596300","122621","null","null",
"1400000US17031080201","Census Tract 802.01, Cook County, Illinois","292000","34421","null","null",
"1400000US17031080202","Census Tract 802.02, Cook County, Illinois","389800","88158","null","null",
"1400000US17031080300","Census Tract 803, Cook County, Illinois","462400","23967","null","null",
"1400000US17031080400","Census Tract 804, Cook County, Illinois","629400","41507","null","null",
"1400000US17031081000","Census Tract 810, Cook County, Illinois","493500","162036","null","null",
"1400000US17031081100","Census Tract 811, Cook County, Illinois","400000","109197","null","null",
"1400000US17031081201","Census Tract 812.01, Cook County, Illinois","774800","277172","null","null",
"1400000US17031081202","Census Tract 812.02, Cook County, Illinois","868000","253879","null","null",
"1400000US17031081300","Census Tract 813, Cook County, Illinois","424000","141235","null","null",
"1400000US17031081401","Census Tract 814.01, Cook County, Illinois","367300","148697","null","null",
"1400000US17031081402","Census Tract 814.02, Cook County, Illinois","546500","84961","null","null",
"1400000US17031081403","Census Tract 814.03, Cook County, Illinois","663400","254805","null","null",
"1400000US17031081500","Census Tract 815, Cook County, Illinois","461100","365050","null","null",
"1400000US17031081600","Census Tract 816, Cook County, Illinois","383200","52461","null","null",
"1400000US17031081700","Census Tract 817, Cook County, Illinois","386500","27280","null","null",
"1400000US17031081800","Census Tract 818, Cook County, Illinois","467800","23933","null","null",
"1400000US17031081900","Census Tract 819, Cook County, Illinois","459900","190857","null","null",
"1400000US17031090100","Census Tract 901, Cook County, Illinois","382200","22261","null","null",
"1400000US17031090200","Census Tract 902, Cook County, Illinois","443600","39518","null","null",
"1400000US17031090300","Census Tract 903, Cook County, Illinois","435700","29665","null","null",
"1400000US17031100100","Census Tract 1001, Cook County, Illinois","389500","28620","null","null",
"1400000US17031100200","Census Tract 1002, Cook County, Illinois","348400","20047","null","null",
"1400000US17031100300","Census Tract 1003, Cook County, Illinois","391400","29642","null","null",
"1400000US17031100400","Census Tract 1004, Cook County, Illinois","351600","10477","null","null",
"1400000US17031100500","Census Tract 1005, Cook County, Illinois","306600","29369","null","null",
"1400000US17031100600","Census Tract 1006, Cook County, Illinois","336200","8639","null","null",
"1400000US17031100700","Census Tract 1007, Cook County, Illinois","327800","11892","null","null",
"1400000US17031110100","Census Tract 1101, Cook County, Illinois","377000","42663","null","null",
"1400000US17031110200","Census Tract 1102, Cook County, Illinois","297800","31262","null","null",
"1400000US17031110300","Census Tract 1103, Cook County, Illinois","318000","15635","null","null",
"1400000US17031110400","Census Tract 1104, Cook County, Illinois","340200","15165","null","null",
"1400000US17031110501","Census Tract 1105.01, Cook County, Illinois","329600","15773","null","null",
"1400000US17031110502","Census Tract 1105.02, Cook County, Illinois","266300","26057","null","null",
"1400000US17031120100","Census Tract 1201, Cook County, Illinois","498600","43606","null","null",
"1400000US17031120200","Census Tract 1202, Cook County, Illinois","509800","41071","null","null",
"1400000US17031120300","Census Tract 1203, Cook County, Illinois","472900","25299","null","null",
"1400000US17031120400","Census Tract 1204, Cook County, Illinois","376000","18029","null","null",
"1400000US17031130100","Census Tract 1301, Cook County, Illinois","393700","29408","null","null",
"1400000US17031130200","Census Tract 1302, Cook County, Illinois","285000","13140","null","null",
"1400000US17031130300","Census Tract 1303, Cook County, Illinois","373000","40275","null","null",
"1400000US17031140100","Census Tract 1401, Cook County, Illinois","287000","56048","null","null",
"1400000US17031140200","Census Tract 1402, Cook County, Illinois","226800","17202","null","null",
"1400000US17031140301","Census Tract 1403.01, Cook County, Illinois","339100","57350","null","null",
