"GEO_ID","NAME","B25077_001M","B25077_001MA","B25077_001E","B25077_001EA",
"Geography","Geographic Area Name","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Estimate!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"1400000US17031150600","Census Tract 1506, Cook County, Illinois","15653","null","314800","null",
"1400000US17031150700","Census Tract 1507, Cook County, Illinois","26934","null","307400","null",
"1400000US17031150800","Census Tract 1508, Cook County, Illinois","15705","null","355800","null",
"1400000US17031151001","Census Tract 1510.01, Cook County, Illinois","77826","null","356100","null",
"1400000US17031151002","Census Tract 1510.02, Cook County, Illinois","28932","null","318800","null",
"1400000US17031151100","Census Tract 1511, Cook County, Illinois","26816","null","324300","null",
"1400000US17031151200","Census Tract 1512, Cook County, Illinois","24200","null","311300","null",
"1400000US17031160100","Census Tract 1601, Cook County, Illinois","83799","null","360800","null",
"1400000US17031160200","Census Tract 1602, Cook County, Illinois","25883","null","377200","null",
"1400000US17031160300","Census Tract 1603, Cook County, Illinois","10789","null","192100","null",
"1400000US17031160400","Census Tract 1604, Cook County, Illinois","50920","null","363200","null",
"1400000US17031160501","Census Tract 1605.01, Cook County, Illinois","26788","null","347200","null",
"1400000US17031160502","Census Tract 1605.02, Cook County, Illinois","50631","null","305200","null",
"1400000US17031160601","Census Tract 1606.01, Cook County, Illinois","105450","null","394300","null",
"1400000US17031160602","Census Tract 1606.02, Cook County, Illinois","32314","null","245000","null",
"1400000US17031160700","Census Tract 1607, Cook County, Illinois","27963","null","383700","null",
"1400000US17031160800","Census Tract 1608, Cook County, Illinois","46334","null","370900","null",
"1400000US17031160900","Census Tract 1609, Cook County, Illinois","78478","null","450500","null",
"1400000US17031161000","Census Tract 1610, Cook County, Illinois","81982","null","514600","null",
"1400000US17031161100","Census Tract 1611, Cook County, Illinois","62931","null","521100","null",
"1400000US17031161200","Census Tract 1612, Cook County, Illinois","26795","null","340100","null",
"1400000US17031161300","Census Tract 1613, Cook County, Illinois","46937","null","320900","null",
"1400000US17031170100","Census Tract 1701, Cook County, Illinois","13795","null","220500","null",
"1400000US17031170200","Census Tract 1702, Cook County, Illinois","24961","null","305900","null",
"1400000US17031170300","Census Tract 1703, Cook County, Illinois","17663","null","297500","null",
"1400000US17031170400","Census Tract 1704, Cook County, Illinois","34785","null","278500","null",
"1400000US17031170500","Census Tract 1705, Cook County, Illinois","20488","null","309700","null",
"1400000US17031170600","Census Tract 1706, Cook County, Illinois","21006","null","320400","null",
"1400000US17031170700","Census Tract 1707, Cook County, Illinois","33857","null","291400","null",
"1400000US17031170800","Census Tract 1708, Cook County, Illinois","12552","null","291500","null",
"1400000US17031170900","Census Tract 1709, Cook County, Illinois","42796","null","291500","null",
"1400000US17031171000","Census Tract 1710, Cook County, Illinois","16007","null","320000","null",
"1400000US17031171100","Census Tract 1711, Cook County, Illinois","18232","null","318000","null",
"1400000US17031180100","Census Tract 1801, Cook County, Illinois","29613","null","296100","null",
"1400000US17031190100","Census Tract 1901, Cook County, Illinois","26908","null","330200","null",
"1400000US17031190200","Census Tract 1902, Cook County, Illinois","25592","null","302400","null",
"1400000US17031190300","Census Tract 1903, Cook County, Illinois","16239","null","319600","null",
"1400000US17031190401","Census Tract 1904.01, Cook County, Illinois","27068","null","296200","null",
"1400000US17031190402","Census Tract 1904.02, Cook County, Illinois","27607","null","330900","null",
"1400000US17031190601","Census Tract 1906.01, Cook County, Illinois","90853","null","296100","null",
"1400000US17031190602","Census Tract 1906.02, Cook County, Illinois","27155","null","307600","null",
"1400000US17031190701","Census Tract 1907.01, Cook County, Illinois","38889","null","328200","null",
"1400000US17031190702","Census Tract 1907.02, Cook County, Illinois","48467","null","398800","null",
"1400000US17031190800","Census Tract 1908, Cook County, Illinois","26149","null","294500","null",
"1400000US17031190900","Census Tract 1909, Cook County, Illinois","52445","null","315000","null",
"1400000US17031191000","Census Tract 1910, Cook County, Illinois","43581","null","286100","null",
"1400000US17031191100","Census Tract 1911, Cook County, Illinois","20055","null","281900","null",
"1400000US17031191200","Census Tract 1912, Cook County, Illinois","23345","null","217300","null",
"1400000US17031191301","Census Tract 1913.01, Cook County, Illinois","75670","null","276800","null",
"1400000US17031191302","Census Tract 1913.02, Cook County, Illinois","33264","null","269500","null",
"1400000US17031200100","Census Tract 2001, Cook County, Illinois","27900","null","301200","null",
"1400000US17031200200","Census Tract 2002, Cook County, Illinois","14980","null","358500","null",
"1400000US17031200300","Census Tract 2003, Cook County, Illinois","13355","null","341700","null",
"1400000US17031200401","Census Tract 2004.01, Cook County, Illinois","19004","null","271800","null",
"1400000US17031200402","Census Tract 2004.02, Cook County, Illinois","35223","null","321700","null",
"1400000US17031210100","Census Tract 2101, Cook County, Illinois","18288","null","352700","null",
"1400000US17031210400","Census Tract 2104, Cook County, Illinois","28773","null","315300","null",
"1400000US17031210501","Census Tract 2105.01, Cook County, Illinois","47007","null","347700","null",
"1400000US17031210502","Census Tract 2105.02, Cook County, Illinois","18791","null","347800","null",
"1400000US17031210601","Census Tract 2106.01, Cook County, Illinois","62131","null","332200","null",
"1400000US17031210602","Census Tract 2106.02, Cook County, Illinois","27215","null","327300","null",
"1400000US17031210700","Census Tract 2107, Cook County, Illinois","25270","null","327000","null",
"1400000US17031210800","Census Tract 2108, Cook County, Illinois","118838","null","300000","null",
"1400000US17031210900","Census Tract 2109, Cook County, Illinois","33042","null","379700","null",
"1400000US17031220300","Census Tract 2203, Cook County, Illinois","66962","null","463400","null",
"1400000US17031220400","Census Tract 2204, Cook County, Illinois","103709","null","481500","null",
"1400000US17031220500","Census Tract 2205, Cook County, Illinois","89743","null","414500","null",
"1400000US17031220601","Census Tract 2206.01, Cook County, Illinois","140788","null","471000","null",
"1400000US17031220602","Census Tract 2206.02, Cook County, Illinois","44185","null","383200","null",
"1400000US17031220701","Census Tract 2207.01, Cook County, Illinois","29623","null","334700","null",
"1400000US17031220702","Census Tract 2207.02, Cook County, Illinois","39011","null","302600","null",
"1400000US17031220901","Census Tract 2209.01, Cook County, Illinois","34325","null","339300","null",
"1400000US17031220902","Census Tract 2209.02, Cook County, Illinois","26043","null","334000","null",
"1400000US17031221000","Census Tract 2210, Cook County, Illinois","33458","null","274700","null",
"1400000US17031221100","Census Tract 2211, Cook County, Illinois","23852","null","338900","null",
"1400000US17031221200","Census Tract 2212, Cook County, Illinois","63346","null","337500","null",
"1400000US17031221300","Census Tract 2213, Cook County, Illinois","36288","null","377100","null",
"1400000US17031221400","Census Tract 2214, Cook County, Illinois","44755","null","367400","null",
"1400000US17031221500","Census Tract 2215, Cook County, Illinois","40536","null","359100","null",
"1400000US17031221600","Census Tract 2216, Cook County, Illinois","57023","null","582300","null",
"1400000US17031222200","Census Tract 2222, Cook County, Illinois","73444","null","573500","null",
"1400000US17031222500","Census Tract 2225, Cook County, Illinois","21407","null","359900","null",
"1400000US17031222600","Census Tract 2226, Cook County, Illinois","55179","null","326600","null",
"1400000US17031222700","Census Tract 2227, Cook County, Illinois","41697","null","314100","null",
"1400000US17031222800","Census Tract 2228, Cook County, Illinois","58276","null","330000","null",
"1400000US17031222900","Census Tract 2229, Cook County, Illinois","80607","null","319400","null",
"1400000US17031230100","Census Tract 2301, Cook County, Illinois","52380","null","245400","null",
"1400000US17031230200","Census Tract 2302, Cook County, Illinois","80706","null","242600","null",
"1400000US17031230300","Census Tract 2303, Cook County, Illinois","117459","null","322400","null",
"1400000US17031230400","Census Tract 2304, Cook County, Illinois","23269","null","234700","null",
"1400000US17031230500","Census Tract 2305, Cook County, Illinois","33351","null","286300","null",
"1400000US17031230600","Census Tract 2306, Cook County, Illinois","34392","null","280900","null",
"1400000US17031230700","Census Tract 2307, Cook County, Illinois","54836","null","262700","null",
"1400000US17031230800","Census Tract 2308, Cook County, Illinois","26356","null","271300","null",
"1400000US17031230900","Census Tract 2309, Cook County, Illinois","41081","null","328700","null",
"1400000US17031231100","Census Tract 2311, Cook County, Illinois","146931","null","187500","null",
"1400000US17031231200","Census Tract 2312, Cook County, Illinois","53465","null","213700","null",
"1400000US17031231500","Census Tract 2315, Cook County, Illinois","38739","null","179900","null",
"1400000US17031240200","Census Tract 2402, Cook County, Illinois","49335","null","412400","null",
"1400000US17031240300","Census Tract 2403, Cook County, Illinois","131282","null","849000","null",
"1400000US17031240500","Census Tract 2405, Cook County, Illinois","33414","null","414500","null",
"1400000US17031240600","Census Tract 2406, Cook County, Illinois","119896","null","487500","null",
"1400000US17031240700","Census Tract 2407, Cook County, Illinois","138298","null","325000","null",
"1400000US17031240800","Census Tract 2408, Cook County, Illinois","49252","null","369200","null",
"1400000US17031240900","Census Tract 2409, Cook County, Illinois","75406","null","338600","null",
"1400000US17031241000","Census Tract 2410, Cook County, Illinois","64224","null","336700","null",
"1400000US17031241100","Census Tract 2411, Cook County, Illinois","32648","null","386800","null",
"1400000US17031241200","Census Tract 2412, Cook County, Illinois","89993","null","419400","null",
"1400000US17031241300","Census Tract 2413, Cook County, Illinois","74845","null","476500","null",
"1400000US17031241400","Census Tract 2414, Cook County, Illinois","46658","null","468500","null",
"1400000US17031241500","Census Tract 2415, Cook County, Illinois","66671","null","475400","null",
"1400000US17031241600","Census Tract 2416, Cook County, Illinois","49717","null","384500","null",
"1400000US17031242000","Census Tract 2420, Cook County, Illinois","41122","null","381700","null",
"1400000US17031242100","Census Tract 2421, Cook County, Illinois","20629","null","461100","null",
"1400000US17031242200","Census Tract 2422, Cook County, Illinois","61317","null","547200","null",
"1400000US17031242300","Census Tract 2423, Cook County, Illinois","58914","null","474800","null",
"1400000US17031242400","Census Tract 2424, Cook County, Illinois","35068","null","370800","null",
"1400000US17031242500","Census Tract 2425, Cook County, Illinois","32074","null","418000","null",
"1400000US17031242600","Census Tract 2426, Cook County, Illinois","29219","null","304900","null",
"1400000US17031242700","Census Tract 2427, Cook County, Illinois","218596","null","465600","null",
"1400000US17031242800","Census Tract 2428, Cook County, Illinois","55695","null","418400","null",
"1400000US17031242900","Census Tract 2429, Cook County, Illinois","29706","null","431300","null",
"1400000US17031243000","Census Tract 2430, Cook County, Illinois","44039","null","395700","null",
"1400000US17031243100","Census Tract 2431, Cook County, Illinois","133614","null","480000","null",
"1400000US17031243200","Census Tract 2432, Cook County, Illinois","59681","null","369900","null",
"1400000US17031243300","Census Tract 2433, Cook County, Illinois","50994","null","370600","null",
"1400000US17031243400","Census Tract 2434, Cook County, Illinois","45046","null","361100","null",
"1400000US17031243500","Census Tract 2435, Cook County, Illinois","24013","null","432100","null",
"1400000US17031250200","Census Tract 2502, Cook County, Illinois","15486","null","233100","null",
"1400000US17031250300","Census Tract 2503, Cook County, Illinois","24050","null","266000","null",
"1400000US17031250400","Census Tract 2504, Cook County, Illinois","29121","null","270300","null",
"1400000US17031250500","Census Tract 2505, Cook County, Illinois","19010","null","307500","null",
"1400000US17031250600","Census Tract 2506, Cook County, Illinois","18441","null","246200","null",
"1400000US17031250700","Census Tract 2507, Cook County, Illinois","36312","null","213800","null",
"1400000US17031250800","Census Tract 2508, Cook County, Illinois","26965","null","216600","null",
"1400000US17031251000","Census Tract 2510, Cook County, Illinois","32038","null","196200","null",
"1400000US17031251100","Census Tract 2511, Cook County, Illinois","35299","null","204200","null",
"1400000US17031251200","Census Tract 2512, Cook County, Illinois","22279","null","208000","null",
"1400000US17031251300","Census Tract 2513, Cook County, Illinois","18588","null","215600","null",
"1400000US17031251400","Census Tract 2514, Cook County, Illinois","32774","null","247100","null",
"1400000US17031251500","Census Tract 2515, Cook County, Illinois","37694","null","244300","null",
"1400000US17031251600","Census Tract 2516, Cook County, Illinois","66880","null","210300","null",
"1400000US17031251700","Census Tract 2517, Cook County, Illinois","29144","null","202400","null",
"1400000US17031251800","Census Tract 2518, Cook County, Illinois","29010","null","247700","null",
"1400000US17031251900","Census Tract 2519, Cook County, Illinois","42086","null","170500","null",
"1400000US17031252000","Census Tract 2520, Cook County, Illinois","56980","null","235000","null",
"1400000US17031252101","Census Tract 2521.01, Cook County, Illinois","152021","null","218900","null",
"1400000US17031252102","Census Tract 2521.02, Cook County, Illinois","44795","null","226800","null",
"1400000US17031252201","Census Tract 2522.01, Cook County, Illinois","42714","null","115600","null",
"1400000US17031252202","Census Tract 2522.02, Cook County, Illinois","30656","null","192000","null",
"1400000US17031260100","Census Tract 2601, Cook County, Illinois","21606","null","192700","null",
"1400000US17031260200","Census Tract 2602, Cook County, Illinois","235643","null","120300","null",
"1400000US17031260300","Census Tract 2603, Cook County, Illinois","34306","null","190400","null",
"1400000US17031260400","Census Tract 2604, Cook County, Illinois","21434","null","225300","null",
"1400000US17031260500","Census Tract 2605, Cook County, Illinois","82100","null","216900","null",
"1400000US17031260600","Census Tract 2606, Cook County, Illinois","53844","null","277000","null",
