"GEO_ID","NAME","B25077_001E","B25077_001EA","B25077_001M","B25077_001MA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)",
"1400000US17031062900","Census Tract 629, Cook County, Illinois","596800","null","42538","null",
"1400000US17031063000","Census Tract 630, Cook County, Illinois","466000","null","123926","null",
"1400000US17031063100","Census Tract 631, Cook County, Illinois","390600","null","65562","null",
"1400000US17031063200","Census Tract 632, Cook County, Illinois","314800","null","50015","null",
"1400000US17031063301","Census Tract 633.01, Cook County, Illinois","347800","null","66476","null",
"1400000US17031063302","Census Tract 633.02, Cook County, Illinois","336100","null","40474","null",
"1400000US17031063303","Census Tract 633.03, Cook County, Illinois","326900","null","21131","null",
"1400000US17031063400","Census Tract 634, Cook County, Illinois","427900","null","55818","null",
"1400000US17031070101","Census Tract 701.01, Cook County, Illinois","358900","null","32624","null",
"1400000US17031070102","Census Tract 701.02, Cook County, Illinois","350500","null","42682","null",
"1400000US17031070103","Census Tract 701.03, Cook County, Illinois","347800","null","18686","null",
"1400000US17031070200","Census Tract 702, Cook County, Illinois","481300","null","65370","null",
"1400000US17031070300","Census Tract 703, Cook County, Illinois","568500","null","49695","null",
"1400000US17031070400","Census Tract 704, Cook County, Illinois","574300","null","70859","null",
"1400000US17031070500","Census Tract 705, Cook County, Illinois","728100","null","57414","null",
"1400000US17031070600","Census Tract 706, Cook County, Illinois","659000","null","65628","null",
"1400000US17031070700","Census Tract 707, Cook County, Illinois","462700","null","42861","null",
"1400000US17031071000","Census Tract 710, Cook County, Illinois","543600","null","181403","null",
"1400000US17031071100","Census Tract 711, Cook County, Illinois","914500","null","360024","null",
"1400000US17031071200","Census Tract 712, Cook County, Illinois","512300","null","134748","null",
"1400000US17031071300","Census Tract 713, Cook County, Illinois","713800","null","204328","null",
"1400000US17031071400","Census Tract 714, Cook County, Illinois","387400","null","57773","null",
"1400000US17031071500","Census Tract 715, Cook County, Illinois","335000","null","65405","null",
"1400000US17031071600","Census Tract 716, Cook County, Illinois","799600","null","172946","null",
"1400000US17031071700","Census Tract 717, Cook County, Illinois","690400","null","55971","null",
"1400000US17031071800","Census Tract 718, Cook County, Illinois","710800","null","58337","null",
"1400000US17031080100","Census Tract 801, Cook County, Illinois","554500","null","134518","null",
"1400000US17031080201","Census Tract 802.01, Cook County, Illinois","232900","null","14525","null",
"1400000US17031080202","Census Tract 802.02, Cook County, Illinois","250300","null","63119","null",
"1400000US17031080300","Census Tract 803, Cook County, Illinois","428900","null","54972","null",
"1400000US17031080400","Census Tract 804, Cook County, Illinois","593400","null","48045","null",
"1400000US17031081000","Census Tract 810, Cook County, Illinois","413600","null","93816","null",
"1400000US17031081100","Census Tract 811, Cook County, Illinois","381600","null","140725","null",
"1400000US17031081201","Census Tract 812.01, Cook County, Illinois","612100","null","159014","null",
"1400000US17031081202","Census Tract 812.02, Cook County, Illinois","646400","null","108514","null",
"1400000US17031081300","Census Tract 813, Cook County, Illinois","389100","null","68554","null",
"1400000US17031081401","Census Tract 814.01, Cook County, Illinois","642500","null","203431","null",
"1400000US17031081402","Census Tract 814.02, Cook County, Illinois","450200","null","46533","null",
"1400000US17031081403","Census Tract 814.03, Cook County, Illinois","467300","null","77360","null",
"1400000US17031081500","Census Tract 815, Cook County, Illinois","502800","null","103563","null",
"1400000US17031081600","Census Tract 816, Cook County, Illinois","397500","null","79288","null",
"1400000US17031081700","Census Tract 817, Cook County, Illinois","348100","null","30867","null",
"1400000US17031081800","Census Tract 818, Cook County, Illinois","440600","null","33588","null",
"1400000US17031081900","Census Tract 819, Cook County, Illinois","575600","null","152141","null",
"1400000US17031090100","Census Tract 901, Cook County, Illinois","332900","null","23047","null",
"1400000US17031090200","Census Tract 902, Cook County, Illinois","384100","null","47191","null",
"1400000US17031090300","Census Tract 903, Cook County, Illinois","354100","null","17760","null",
"1400000US17031100100","Census Tract 1001, Cook County, Illinois","311600","null","29338","null",
"1400000US17031100200","Census Tract 1002, Cook County, Illinois","306500","null","28305","null",
"1400000US17031100300","Census Tract 1003, Cook County, Illinois","355300","null","18478","null",
"1400000US17031100400","Census Tract 1004, Cook County, Illinois","335700","null","10683","null",
"1400000US17031100500","Census Tract 1005, Cook County, Illinois","324600","null","20956","null",
"1400000US17031100600","Census Tract 1006, Cook County, Illinois","270900","null","10333","null",
"1400000US17031100700","Census Tract 1007, Cook County, Illinois","281700","null","9207","null",
"1400000US17031110100","Census Tract 1101, Cook County, Illinois","315900","null","18715","null",
"1400000US17031110200","Census Tract 1102, Cook County, Illinois","315000","null","35108","null",
"1400000US17031110300","Census Tract 1103, Cook County, Illinois","270000","null","11538","null",
"1400000US17031110400","Census Tract 1104, Cook County, Illinois","307000","null","23633","null",
"1400000US17031110501","Census Tract 1105.01, Cook County, Illinois","304300","null","17518","null",
"1400000US17031110502","Census Tract 1105.02, Cook County, Illinois","226800","null","33219","null",
"1400000US17031120100","Census Tract 1201, Cook County, Illinois","453000","null","23210","null",
"1400000US17031120200","Census Tract 1202, Cook County, Illinois","463400","null","22302","null",
"1400000US17031120300","Census Tract 1203, Cook County, Illinois","425800","null","28870","null",
"1400000US17031120400","Census Tract 1204, Cook County, Illinois","341800","null","22073","null",
"1400000US17031130100","Census Tract 1301, Cook County, Illinois","308700","null","26474","null",
"1400000US17031130200","Census Tract 1302, Cook County, Illinois","279700","null","31566","null",
"1400000US17031130300","Census Tract 1303, Cook County, Illinois","314000","null","30704","null",
"1400000US17031140100","Census Tract 1401, Cook County, Illinois","226100","null","46090","null",
"1400000US17031140200","Census Tract 1402, Cook County, Illinois","189500","null","16286","null",
"1400000US17031140301","Census Tract 1403.01, Cook County, Illinois","200000","null","37967","null",
"1400000US17031140302","Census Tract 1403.02, Cook County, Illinois","272500","null","25113","null",
"1400000US17031140400","Census Tract 1404, Cook County, Illinois","298400","null","20098","null",
"1400000US17031140500","Census Tract 1405, Cook County, Illinois","262700","null","22459","null",
"1400000US17031140601","Census Tract 1406.01, Cook County, Illinois","285800","null","24616","null",
"1400000US17031140602","Census Tract 1406.02, Cook County, Illinois","289000","null","39945","null",
"1400000US17031140701","Census Tract 1407.01, Cook County, Illinois","276500","null","12173","null",
"1400000US17031140702","Census Tract 1407.02, Cook County, Illinois","286000","null","29777","null",
