"GEO_ID","NAME","B25031_001E","B25031_001EA","B25031_001M","B25031_001MA","B25031_002E","B25031_002M","B25031_002MA","B25031_002EA","B25031_003E","B25031_003M","B25031_003MA","B25031_003EA","B25031_004E","B25031_004M","B25031_004MA","B25031_004EA","B25031_005E","B25031_005EA","B25031_005M","B25031_005MA","B25031_006E","B25031_006EA","B25031_006M","B25031_006MA","B25031_007E","B25031_007EA","B25031_007M","B25031_007MA",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total:","Annotation of Estimate!!Median gross rent --!!Total:","Margin of Error!!Median gross rent --!!Total:","Annotation of Margin of Error!!Median gross rent --!!Total:","Estimate!!Median gross rent --!!Total:!!No bedroom","Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!No bedroom","Estimate!!Median gross rent --!!Total:!!1 bedroom","Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!1 bedroom","Estimate!!Median gross rent --!!Total:!!2 bedrooms","Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!2 bedrooms","Estimate!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!3 bedrooms","Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Estimate!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!4 bedrooms","Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Estimate!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!5 or more bedrooms","Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","1153","null","39","null","980","74","null","null","1173","43","null","null","2013","309","null","null","1168","null","910","null","-","-","**","**","-","-","**","**",
"1400000US17031030701","Census Tract 307.01, Cook County, Illinois","942","null","73","null","850","27","null","null","1313","151","null","null","-","**","**","-","1430","null","330","null","-","-","**","**","-","-","**","**",
"1400000US17031030702","Census Tract 307.02, Cook County, Illinois","1414","null","164","null","1132","204","null","null","1524","176","null","null","2150","1015","null","null","-","-","**","**","-","-","**","**","-","-","**","**",
"1400000US17031030703","Census Tract 307.03, Cook County, Illinois","1079","null","152","null","531","505","null","null","1083","144","null","null","1269","591","null","null","1890","null","287","null","-","-","**","**","-","-","**","**",
"1400000US17031030706","Census Tract 307.06, Cook County, Illinois","1346","null","98","null","1318","162","null","null","1342","124","null","null","-","**","**","-","-","-","**","**","-","-","**","**","-","-","**","**",
"1400000US17031030800","Census Tract 308, Cook County, Illinois","1397","null","156","null","1277","283","null","null","1140","87","null","null","1634","158","null","null","2096","null","892","null","-","-","**","**","-","-","**","**",
"1400000US17031030900","Census Tract 309, Cook County, Illinois","1579","null","185","null","-","**","**","-","1172","99","null","null","1717","125","null","null","2054","null","412","null","-","-","**","**","-","-","**","**",
"1400000US17031031000","Census Tract 310, Cook County, Illinois","1460","null","125","null","-","**","**","-","1325","68","null","null","1782","203","null","null","2076","null","394","null","-","-","**","**","-","-","**","**",
"1400000US17031031100","Census Tract 311, Cook County, Illinois","1397","null","136","null","1067","120","null","null","1144","97","null","null","1593","146","null","null","1874","null","168","null","-","-","**","**","-","-","**","**",
"1400000US17031031200","Census Tract 312, Cook County, Illinois","916","null","300","null","717","361","null","null","-","**","**","-","935","404","null","null","1608","null","456","null","-","-","**","**","-","-","**","**",
"1400000US17031031300","Census Tract 313, Cook County, Illinois","1127","null","89","null","1037","219","null","null","1083","142","null","null","1605","349","null","null","1704","null","224","null","-","-","**","**","-","-","**","**",
"1400000US17031031400","Census Tract 314, Cook County, Illinois","1397","null","53","null","1181","229","null","null","1390","59","null","null","1919","202","null","null","-","-","**","**","-","-","**","**","-","-","**","**",
"1400000US17031031501","Census Tract 315.01, Cook County, Illinois","758","null","251","null","809","292","null","null","1262","511","null","null","652","304","null","null","-","-","**","**","-","-","**","**","-","-","**","**",
"1400000US17031031502","Census Tract 315.02, Cook County, Illinois","946","null","78","null","871","150","null","null","1026","312","null","null","1198","228","null","null","997","null","314","null","-","-","**","**","-","-","**","**",
"1400000US17031031700","Census Tract 317, Cook County, Illinois","1127","null","123","null","809","43","null","null","1082","90","null","null","1643","173","null","null","1675","null","1287","null","3110","null","1675","null","-","-","**","**",
"1400000US17031031800","Census Tract 318, Cook County, Illinois","1339","null","64","null","1276","104","null","null","1153","80","null","null","1726","140","null","null","1708","null","1519","null","-","-","**","**","-","-","**","**",
"1400000US17031031900","Census Tract 319, Cook County, Illinois","1351","null","37","null","977","189","null","null","1339","30","null","null","1699","232","null","null","1934","null","551","null","-","-","**","**","-","-","**","**",
"1400000US17031032100","Census Tract 321, Cook County, Illinois","1252","null","133","null","980","84","null","null","1082","293","null","null","2320","535","null","null","2065","null","436","null","-","-","**","**","-","-","**","**",
"1400000US17031040100","Census Tract 401, Cook County, Illinois","1392","null","112","null","-","**","**","-","1226","74","null","null","1771","68","null","null","2009","null","324","null","-","-","**","**","-","-","**","**",
"1400000US17031040201","Census Tract 402.01, Cook County, Illinois","1480","null","154","null","746","439","null","null","1102","43","null","null","1707","197","null","null","1933","null","288","null","-","-","**","**","-","-","**","**",
"1400000US17031040202","Census Tract 402.02, Cook County, Illinois","1323","null","82","null","941","530","null","null","1108","46","null","null","1526","158","null","null","1618","null","267","null","-","-","**","**","-","-","**","**",
"1400000US17031040300","Census Tract 403, Cook County, Illinois","1378","null","69","null","-","**","**","-","947","434","null","null","1374","44","null","null","1557","null","315","null","-","-","**","**","-","-","**","**",
"1400000US17031040401","Census Tract 404.01, Cook County, Illinois","1603","null","167","null","-","**","**","-","1411","91","null","null","1674","246","null","null","1677","null","259","null","-","-","**","**","-","-","**","**",
"1400000US17031040402","Census Tract 404.02, Cook County, Illinois","1440","null","71","null","1104","139","null","null","1353","59","null","null","1687","150","null","null","1797","null","155","null","-","-","**","**","-","-","**","**",
"1400000US17031040600","Census Tract 406, Cook County, Illinois","1550","null","133","null","1060","202","null","null","1258","118","null","null","1687","103","null","null","2081","null","311","null","-","-","**","**","-","-","**","**",
"1400000US17031040700","Census Tract 407, Cook County, Illinois","1432","null","78","null","1054","204","null","null","1272","115","null","null","1665","160","null","null","1766","null","380","null","-","-","**","**","-","-","**","**",
"1400000US17031040800","Census Tract 408, Cook County, Illinois","1403","null","87","null","1083","59","null","null","1332","76","null","null","1767","67","null","null","1760","null","144","null","-","-","**","**","-","-","**","**",
"1400000US17031040900","Census Tract 409, Cook County, Illinois","1143","null","87","null","961","80","null","null","1199","85","null","null","1465","163","null","null","-","-","**","**","-","-","**","**","-","-","**","**",
"1400000US17031050100","Census Tract 501, Cook County, Illinois","1484","null","123","null","-","**","**","-","1354","147","null","null","1563","184","null","null","2042","null","1172","null","-","-","**","**","-","-","**","**",
"1400000US17031050200","Census Tract 502, Cook County, Illinois","1364","null","133","null","-","**","**","-","1215","282","null","null","1620","316","null","null","1818","null","275","null","-","-","**","**","-","-","**","**",
"1400000US17031050300","Census Tract 503, Cook County, Illinois","1451","null","389","null","-","**","**","-","1385","1197","null","null","1382","340","null","null","-","-","**","**","-","-","**","**","-","-","**","**",
"1400000US17031050500","Census Tract 505, Cook County, Illinois","1728","null","227","null","-","**","**","-","1605","246","null","null","1702","302","null","null","2245","null","149","null","-","-","**","**","-","-","**","**",
"1400000US17031050600","Census Tract 506, Cook County, Illinois","1636","null","166","null","-","**","**","-","1370","334","null","null","1895","199","null","null","1948","null","284","null","-","-","**","**","-","-","**","**",
"1400000US17031050700","Census Tract 507, Cook County, Illinois","1750","null","1089","null","-","**","**","-","1179","599","null","null","-","**","**","-","2330","null","143","null","-","-","**","**","-","-","**","**",
"1400000US17031050800","Census Tract 508, Cook County, Illinois","1750","null","147","null","-","**","**","-","1224","179","null","null","1776","31","null","null","2360","null","306","null","-","-","**","**","-","-","**","**",
"1400000US17031050900","Census Tract 509, Cook County, Illinois","1551","null","228","null","-","**","**","-","1087","207","null","null","1769","155","null","null","2130","null","281","null","-","-","**","**","-","-","**","**",
"1400000US17031051000","Census Tract 510, Cook County, Illinois","2032","null","215","null","-","**","**","-","1462","308","null","null","2159","210","null","null","2568","null","301","null","-","-","**","**","-","-","**","**",
"1400000US17031051100","Census Tract 511, Cook County, Illinois","1471","null","648","null","-","**","**","-","1138","39","null","null","1636","237","null","null","3339","null","2052","null","-","-","**","**","-","-","**","**",
"1400000US17031051200","Census Tract 512, Cook County, Illinois","2025","null","209","null","-","**","**","-","1448","224","null","null","1930","175","null","null","2663","null","182","null","-","-","**","**","-","-","**","**",
"1400000US17031051300","Census Tract 513, Cook County, Illinois","2469","null","1101","null","-","**","**","-","-","**","**","-","1644","851","null","null","2827","null","127","null","3,500+","3,500+","***","***","-","-","**","**",
"1400000US17031051400","Census Tract 514, Cook County, Illinois","1571","null","233","null","-","**","**","-","1422","51","null","null","1815","207","null","null","1396","null","1346","null","-","-","**","**","-","-","**","**",
"1400000US17031060100","Census Tract 601, Cook County, Illinois","1722","null","304","null","-","**","**","-","1414","254","null","null","2219","267","null","null","1449","null","830","null","-","-","**","**","-","-","**","**",
"1400000US17031060200","Census Tract 602, Cook County, Illinois","1418","null","95","null","876","27","null","null","1397","47","null","null","1712","156","null","null","2120","null","242","null","-","-","**","**","-","-","**","**",
"1400000US17031060300","Census Tract 603, Cook County, Illinois","1643","null","208","null","-","**","**","-","1583","472","null","null","1695","152","null","null","1472","null","1358","null","-","-","**","**","-","-","**","**",
"1400000US17031060400","Census Tract 604, Cook County, Illinois","1914","null","191","null","1191","126","null","null","1453","125","null","null","2207","154","null","null","2610","null","275","null","2972","null","727","null","-","-","**","**",
"1400000US17031060500","Census Tract 605, Cook County, Illinois","357","null","187","null","-","**","**","-","297","82","null","null","1929","308","null","null","2583","null","840","null","-","-","**","**","-","-","**","**",
"1400000US17031060800","Census Tract 608, Cook County, Illinois","1739","null","77","null","1413","260","null","null","1778","103","null","null","1865","227","null","null","-","-","**","**","-","-","**","**","-","-","**","**",
"1400000US17031060900","Census Tract 609, Cook County, Illinois","1398","null","68","null","1177","82","null","null","1415","64","null","null","2156","158","null","null","-","-","**","**","1564","null","613","null","-","-","**","**",
"1400000US17031061000","Census Tract 610, Cook County, Illinois","1813","null","170","null","-","**","**","-","1536","170","null","null","2058","620","null","null","2131","null","312","null","-","-","**","**","-","-","**","**",
"1400000US17031061100","Census Tract 611, Cook County, Illinois","1750","null","203","null","-","**","**","-","1423","118","null","null","1959","213","null","null","2664","null","439","null","3,500+","3,500+","***","***","-","-","**","**",
"1400000US17031061200","Census Tract 612, Cook County, Illinois","1857","null","120","null","-","**","**","-","1420","51","null","null","1863","145","null","null","2368","null","152","null","2911","null","1323","null","-","-","**","**",
"1400000US17031061500","Census Tract 615, Cook County, Illinois","1770","null","125","null","-","**","**","-","1464","56","null","null","1849","261","null","null","2318","null","340","null","-","-","**","**","-","-","**","**",
"1400000US17031061800","Census Tract 618, Cook County, Illinois","1474","null","104","null","1276","132","null","null","1562","113","null","null","1953","553","null","null","1938","null","787","null","-","-","**","**","-","-","**","**",
"1400000US17031061901","Census Tract 619.01, Cook County, Illinois","1321","null","169","null","1146","25","null","null","1505","210","null","null","1732","274","null","null","-","-","**","**","-","-","**","**","-","-","**","**",
