"GEO_ID","NAME","B25031_001E","B25031_001EA","B25031_001M","B25031_001MA","B25031_002E","B25031_002EA","B25031_002M","B25031_002MA","B25031_003E","B25031_003EA","B25031_003M","B25031_003MA","B25031_004E","B25031_004EA","B25031_004M","B25031_004MA","B25031_005E","B25031_005EA","B25031_005M","B25031_005MA","B25031_006E","B25031_006EA","B25031_006M","B25031_006MA","B25031_007E","B25031_007M","B25031_007MA","B25031_007EA",
"Geography","Geographic Area Name","Estimate!!Median gross rent!!Total","Annotation of Estimate!!Median gross rent!!Total","Margin of Error!!Median gross rent!!Total","Annotation of Margin of Error!!Median gross rent!!Total","Estimate!!Median gross rent!!Total!!No bedroom","Annotation of Estimate!!Median gross rent!!Total!!No bedroom","Margin of Error!!Median gross rent!!Total!!No bedroom","Annotation of Margin of Error!!Median gross rent!!Total!!No bedroom","Estimate!!Median gross rent!!Total!!1 bedroom","Annotation of Estimate!!Median gross rent!!Total!!1 bedroom","Margin of Error!!Median gross rent!!Total!!1 bedroom","Annotation of Margin of Error!!Median gross rent!!Total!!1 bedroom","Estimate!!Median gross rent!!Total!!2 bedrooms","Annotation of Estimate!!Median gross rent!!Total!!2 bedrooms","Margin of Error!!Median gross rent!!Total!!2 bedrooms","Annotation of Margin of Error!!Median gross rent!!Total!!2 bedrooms","Estimate!!Median gross rent!!Total!!3 bedrooms","Annotation of Estimate!!Median gross rent!!Total!!3 bedrooms","Margin of Error!!Median gross rent!!Total!!3 bedrooms","Annotation of Margin of Error!!Median gross rent!!Total!!3 bedrooms","Estimate!!Median gross rent!!Total!!4 bedrooms","Annotation of Estimate!!Median gross rent!!Total!!4 bedrooms","Margin of Error!!Median gross rent!!Total!!4 bedrooms","Annotation of Margin of Error!!Median gross rent!!Total!!4 bedrooms","Estimate!!Median gross rent!!Total!!5 or more bedrooms","Margin of Error!!Median gross rent!!Total!!5 or more bedrooms","Annotation of Margin of Error!!Median gross rent!!Total!!5 or more bedrooms","Annotation of Estimate!!Median gross rent!!Total!!5 or more bedrooms",
"1400000US17031220901","Census Tract 2209.01, Cook County, Illinois","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1400000US17031220902","Census Tract 2209.02, Cook County, Illinois","1033","null","58","null","-","-","**","**","766","null","111","null","998","null","75","null","1095","null","51","null","-","-","**","**","-","**","**","-",
"1400000US17031221000","Census Tract 2210, Cook County, Illinois","1038","null","61","null","-","-","**","**","880","null","59","null","1035","null","87","null","1112","null","61","null","-","-","**","**","-","**","**","-",
"1400000US17031221100","Census Tract 2211, Cook County, Illinois","973","null","88","null","676","null","40","null","870","null","100","null","872","null","62","null","1273","null","134","null","1824","null","142","null","-","**","**","-",
"1400000US17031221200","Census Tract 2212, Cook County, Illinois","1117","null","99","null","-","-","**","**","910","null","248","null","1093","null","99","null","1616","null","351","null","-","-","**","**","-","**","**","-",
"1400000US17031221300","Census Tract 2213, Cook County, Illinois","1015","null","87","null","521","null","121","null","843","null","141","null","1116","null","92","null","1136","null","194","null","2222","null","598","null","-","**","**","-",
"1400000US17031221400","Census Tract 2214, Cook County, Illinois","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1400000US17031221500","Census Tract 2215, Cook County, Illinois","857","null","105","null","604","null","108","null","419","null","407","null","983","null","125","null","1438","null","539","null","-","-","**","**","-","**","**","-",
"1400000US17031221600","Census Tract 2216, Cook County, Illinois","1336","null","122","null","-","-","**","**","1061","null","221","null","1378","null","126","null","2015","null","490","null","1903","null","385","null","-","**","**","-",
"1400000US17031222200","Census Tract 2222, Cook County, Illinois","1742","null","144","null","-","-","**","**","1149","null","63","null","1755","null","136","null","2625","null","294","null","-","-","**","**","-","**","**","-",
"1400000US17031222500","Census Tract 2225, Cook County, Illinois","1052","null","125","null","-","-","**","**","1018","null","124","null","1017","null","166","null","1198","null","578","null","-","-","**","**","-","**","**","-",
"1400000US17031222600","Census Tract 2226, Cook County, Illinois","994","null","98","null","695","null","393","null","885","null","45","null","1115","null","187","null","1342","null","153","null","-","-","**","**","-","**","**","-",
"1400000US17031222700","Census Tract 2227, Cook County, Illinois","1091","null","56","null","-","-","**","**","891","null","209","null","1102","null","64","null","1056","null","201","null","1263","null","238","null","-","**","**","-",
"1400000US17031222800","Census Tract 2228, Cook County, Illinois","877","null","90","null","-","-","**","**","817","null","224","null","836","null","92","null","1082","null","107","null","-","-","**","**","-","**","**","-",
"1400000US17031222900","Census Tract 2229, Cook County, Illinois","850","null","143","null","-","-","**","**","-","-","**","**","706","null","124","null","989","null","258","null","-","-","**","**","-","**","**","-",
"1400000US17031230100","Census Tract 2301, Cook County, Illinois","907","null","65","null","607","null","230","null","707","null","39","null","957","null","36","null","1043","null","183","null","-","-","**","**","-","**","**","-",
"1400000US17031230200","Census Tract 2302, Cook County, Illinois","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1400000US17031230300","Census Tract 2303, Cook County, Illinois","867","null","80","null","861","null","251","null","-","-","**","**","875","null","199","null","903","null","122","null","-","-","**","**","-","**","**","-",
"1400000US17031230400","Census Tract 2304, Cook County, Illinois","967","null","54","null","924","null","168","null","914","null","708","null","935","null","90","null","1000","null","233","null","1293","null","160","null","-","**","**","-",
"1400000US17031230500","Census Tract 2305, Cook County, Illinois","889","null","159","null","602","null","244","null","457","null","263","null","1045","null","98","null","1054","null","55","null","-","-","**","**","-","**","**","-",
"1400000US17031230600","Census Tract 2306, Cook County, Illinois","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1400000US17031230700","Census Tract 2307, Cook County, Illinois","948","null","105","null","894","null","404","null","702","null","377","null","971","null","149","null","1026","null","105","null","1138","null","306","null","-","**","**","-",
"1400000US17031230800","Census Tract 2308, Cook County, Illinois","984","null","119","null","-","-","**","**","770","null","142","null","955","null","114","null","1046","null","229","null","-","-","**","**","-","**","**","-",
"1400000US17031230900","Census Tract 2309, Cook County, Illinois","933","null","61","null","962","null","270","null","847","null","132","null","956","null","62","null","824","null","174","null","1121","null","336","null","-","**","**","-",
"1400000US17031231100","Census Tract 2311, Cook County, Illinois","838","null","130","null","-","-","**","**","-","-","**","**","731","null","178","null","906","null","133","null","-","-","**","**","-","**","**","-",
"1400000US17031231200","Census Tract 2312, Cook County, Illinois","902","null","66","null","830","null","94","null","691","null","128","null","908","null","85","null","1058","null","88","null","382","null","148","null","-","**","**","-",
"1400000US17031231500","Census Tract 2315, Cook County, Illinois","928","null","86","null","766","null","669","null","602","null","86","null","868","null","139","null","1149","null","185","null","1542","null","318","null","-","**","**","-",
"1400000US17031240200","Census Tract 2402, Cook County, Illinois","883","null","730","null","100-","100-","***","***","331","null","76","null","1629","null","356","null","2000","null","1177","null","-","-","**","**","-","**","**","-",
"1400000US17031240300","Census Tract 2403, Cook County, Illinois","1440","null","115","null","-","-","**","**","1223","null","143","null","1585","null","231","null","2375","null","1071","null","-","-","**","**","-","**","**","-",
"1400000US17031240500","Census Tract 2405, Cook County, Illinois","1792","null","322","null","-","-","**","**","1436","null","108","null","2115","null","236","null","2472","null","557","null","-","-","**","**","-","**","**","-",
"1400000US17031240600","Census Tract 2406, Cook County, Illinois","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1400000US17031240700","Census Tract 2407, Cook County, Illinois","928","null","75","null","-","-","**","**","713","null","250","null","1044","null","117","null","1125","null","538","null","-","-","**","**","-","**","**","-",
"1400000US17031240800","Census Tract 2408, Cook County, Illinois","972","null","126","null","582","null","76","null","814","null","156","null","1078","null","103","null","1184","null","114","null","-","-","**","**","-","**","**","-",
"1400000US17031240900","Census Tract 2409, Cook County, Illinois","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1400000US17031241000","Census Tract 2410, Cook County, Illinois","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1400000US17031241100","Census Tract 2411, Cook County, Illinois","1155","null","46","null","-","-","**","**","1190","null","177","null","1152","null","72","null","1138","null","84","null","-","-","**","**","-","**","**","-",
"1400000US17031241200","Census Tract 2412, Cook County, Illinois","1349","null","205","null","-","-","**","**","359","null","167","null","1592","null","112","null","1438","null","515","null","-","-","**","**","-","**","**","-",
"1400000US17031241300","Census Tract 2413, Cook County, Illinois","1809","null","133","null","-","-","**","**","1025","null","578","null","1775","null","168","null","2201","null","315","null","-","-","**","**","-","**","**","-",
"1400000US17031241400","Census Tract 2414, Cook County, Illinois","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1400000US17031241500","Census Tract 2415, Cook County, Illinois","1450","null","135","null","914","null","372","null","1209","null","110","null","1637","null","141","null","2571","null","1537","null","-","-","**","**","-","**","**","-",
"1400000US17031241600","Census Tract 2416, Cook County, Illinois","1343","null","71","null","863","null","685","null","1217","null","120","null","1344","null","73","null","1728","null","333","null","-","-","**","**","-","**","**","-",
"1400000US17031242000","Census Tract 2420, Cook County, Illinois","943","null","76","null","-","-","**","**","574","null","217","null","998","null","151","null","2136","null","201","null","-","-","**","**","-","**","**","-",
"1400000US17031242100","Census Tract 2421, Cook County, Illinois","1445","null","157","null","-","-","**","**","1210","null","121","null","1458","null","208","null","1930","null","720","null","2071","null","1816","null","-","**","**","-",
"1400000US17031242200","Census Tract 2422, Cook County, Illinois","1290","null","112","null","967","null","47","null","1123","null","65","null","1400","null","102","null","1804","null","293","null","-","-","**","**","-","**","**","-",
"1400000US17031242300","Census Tract 2423, Cook County, Illinois","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1400000US17031242400","Census Tract 2424, Cook County, Illinois","1195","null","65","null","-","-","**","**","1141","null","82","null","1196","null","78","null","1430","null","214","null","-","-","**","**","-","**","**","-",
"1400000US17031242500","Census Tract 2425, Cook County, Illinois","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1400000US17031242600","Census Tract 2426, Cook County, Illinois","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1400000US17031242700","Census Tract 2427, Cook County, Illinois","1002","null","87","null","-","-","**","**","793","null","591","null","993","null","190","null","1008","null","121","null","-","-","**","**","-","**","**","-",
"1400000US17031242800","Census Tract 2428, Cook County, Illinois","1160","null","133","null","-","-","**","**","735","null","149","null","1149","null","118","null","1438","null","384","null","-","-","**","**","-","**","**","-",
"1400000US17031242900","Census Tract 2429, Cook County, Illinois","1131","null","85","null","-","-","**","**","1020","null","92","null","1133","null","113","null","1347","null","115","null","-","-","**","**","-","**","**","-",
"1400000US17031243000","Census Tract 2430, Cook County, Illinois","1203","null","110","null","-","-","**","**","1151","null","202","null","1277","null","180","null","1518","null","1215","null","-","-","**","**","-","**","**","-",
"1400000US17031243100","Census Tract 2431, Cook County, Illinois","1120","null","360","null","-","-","**","**","970","null","61","null","977","null","351","null","1341","null","637","null","-","-","**","**","-","**","**","-",
