"GEO_ID","NAME","B25031_001E","B25031_001M","B25031_001MA","B25031_001EA","B25031_002E","B25031_002M","B25031_002MA","B25031_002EA","B25031_003E","B25031_003M","B25031_003MA","B25031_003EA","B25031_004E","B25031_004M","B25031_004MA","B25031_004EA","B25031_005E","B25031_005EA","B25031_005M","B25031_005MA","B25031_006E","B25031_006EA","B25031_006M","B25031_006MA","B25031_007E","B25031_007M","B25031_007MA","B25031_007EA",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total:","Margin of Error!!Median gross rent --!!Total:","Annotation of Margin of Error!!Median gross rent --!!Total:","Annotation of Estimate!!Median gross rent --!!Total:","Estimate!!Median gross rent --!!Total:!!No bedroom","Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!No bedroom","Estimate!!Median gross rent --!!Total:!!1 bedroom","Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!1 bedroom","Estimate!!Median gross rent --!!Total:!!2 bedrooms","Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!2 bedrooms","Estimate!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!3 bedrooms","Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Estimate!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!4 bedrooms","Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Estimate!!Median gross rent --!!Total:!!5 or more bedrooms","Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!5 or more bedrooms",
"1400000US17031310900","Census Tract 3109, Cook County, Illinois","967","34","null","null","-","**","**","-","960","49","null","null","927","40","null","null","1126","null","86","null","-","-","**","**","-","**","**","-",
"1400000US17031320100","Census Tract 3201, Cook County, Illinois","2348","84","null","null","2047","148","null","null","2238","65","null","null","3179","225","null","null","3438","null","302","null","-","-","**","**","-","**","**","-",
"1400000US17031320400","Census Tract 3204, Cook County, Illinois","2399","169","null","null","2179","134","null","null","2125","183","null","null","2975","395","null","null","3000","null","708","null","-","-","**","**","-","**","**","-",
"1400000US17031320600","Census Tract 3206, Cook County, Illinois","1943","113","null","null","1586","460","null","null","1918","149","null","null","2479","219","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031330100","Census Tract 3301, Cook County, Illinois","1976","191","null","null","1666","248","null","null","1731","188","null","null","2434","283","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031330200","Census Tract 3302, Cook County, Illinois","803","122","null","null","-","**","**","-","-","**","**","-","1051","154","null","null","2364","null","1746","null","-","-","**","**","-","**","**","-",
"1400000US17031340300","Census Tract 3403, Cook County, Illinois","607","356","null","null","-","**","**","-","243","68","null","null","738","55","null","null","850","null","217","null","-","-","**","**","-","**","**","-",
"1400000US17031340400","Census Tract 3404, Cook County, Illinois","938","83","null","null","-","**","**","-","1267","585","null","null","917","78","null","null","1097","null","352","null","-","-","**","**","-","**","**","-",
"1400000US17031340500","Census Tract 3405, Cook County, Illinois","625","216","null","null","-","**","**","-","294","175","null","null","1093","95","null","null","874","null","361","null","-","-","**","**","-","**","**","-",
"1400000US17031340600","Census Tract 3406, Cook County, Illinois","296","106","null","null","-","**","**","-","273","48","null","null","519","112","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031350100","Census Tract 3501, Cook County, Illinois","1174","35","null","null","976","17","null","null","1200","35","null","null","1723","46","null","null","2179","null","1591","null","-","-","**","**","-","**","**","-",
"1400000US17031350400","Census Tract 3504, Cook County, Illinois","316","57","null","null","-","**","**","-","302","59","null","null","364","100","null","null","503","null","317","null","176","null","39","null","-","**","**","-",
"1400000US17031351000","Census Tract 3510, Cook County, Illinois","1178","55","null","null","1035","130","null","null","1112","45","null","null","1349","103","null","null","1754","null","116","null","-","-","**","**","-","**","**","-",
"1400000US17031351100","Census Tract 3511, Cook County, Illinois","501","96","null","null","-","**","**","-","261","37","null","null","493","88","null","null","809","null","333","null","-","-","**","**","-","**","**","-",
"1400000US17031351400","Census Tract 3514, Cook County, Illinois","532","252","null","null","-","**","**","-","460","233","null","null","345","289","null","null","1097","null","366","null","-","-","**","**","-","**","**","-",
"1400000US17031351500","Census Tract 3515, Cook County, Illinois","864","249","null","null","-","**","**","-","860","339","null","null","850","378","null","null","1403","null","361","null","-","-","**","**","-","**","**","-",
"1400000US17031360200","Census Tract 3602, Cook County, Illinois","861","97","null","null","-","**","**","-","783","43","null","null","977","97","null","null","1122","null","197","null","-","-","**","**","-","**","**","-",
"1400000US17031380100","Census Tract 3801, Cook County, Illinois","333","164","null","null","226","94","null","null","269","41","null","null","1228","193","null","null","733","null","629","null","-","-","**","**","-","**","**","-",
"1400000US17031380200","Census Tract 3802, Cook County, Illinois","688","140","null","null","552","473","null","null","517","351","null","null","1099","130","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031380500","Census Tract 3805, Cook County, Illinois","739","418","null","null","-","**","**","-","536","247","null","null","936","457","null","null","1192","null","555","null","-","-","**","**","-","**","**","-",
"1400000US17031380700","Census Tract 3807, Cook County, Illinois","1034","129","null","null","-","**","**","-","-","**","**","-","1233","208","null","null","1217","null","228","null","366","null","266","null","-","**","**","-",
"1400000US17031381200","Census Tract 3812, Cook County, Illinois","865","83","null","null","-","**","**","-","768","26","null","null","939","107","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031381400","Census Tract 3814, Cook County, Illinois","1043","137","null","null","-","**","**","-","856","137","null","null","1121","158","null","null","1068","null","168","null","1453","null","650","null","-","**","**","-",
"1400000US17031381500","Census Tract 3815, Cook County, Illinois","745","160","null","null","602","322","null","null","291","218","null","null","1158","449","null","null","1306","null","573","null","-","-","**","**","-","**","**","-",
"1400000US17031381700","Census Tract 3817, Cook County, Illinois","-","**","**","-","-","**","**","-","-","**","**","-","-","**","**","-","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031381800","Census Tract 3818, Cook County, Illinois","1099","111","null","null","739","183","null","null","494","295","null","null","1188","137","null","null","1372","null","195","null","1671","null","494","null","-","**","**","-",
"1400000US17031381900","Census Tract 3819, Cook County, Illinois","790","144","null","null","-","**","**","-","423","96","null","null","895","415","null","null","1051","null","524","null","-","-","**","**","-","**","**","-",
"1400000US17031390100","Census Tract 3901, Cook County, Illinois","1109","190","null","null","-","**","**","-","-","**","**","-","961","40","null","null","1192","null","736","null","-","-","**","**","2218","73","null","null",
"1400000US17031390200","Census Tract 3902, Cook County, Illinois","1186","149","null","null","-","**","**","-","1088","63","null","null","1257","204","null","null","-","-","**","**","2477","null","443","null","-","**","**","-",
"1400000US17031390300","Census Tract 3903, Cook County, Illinois","704","111","null","null","743","67","null","null","524","320","null","null","608","156","null","null","1110","null","295","null","-","-","**","**","-","**","**","-",
"1400000US17031390400","Census Tract 3904, Cook County, Illinois","764","161","null","null","763","280","null","null","585","402","null","null","785","362","null","null","1161","null","967","null","-","-","**","**","-","**","**","-",
"1400000US17031390500","Census Tract 3905, Cook County, Illinois","1185","195","null","null","917","45","null","null","1268","125","null","null","973","246","null","null","1438","null","171","null","-","-","**","**","-","**","**","-",
"1400000US17031390600","Census Tract 3906, Cook County, Illinois","1078","111","null","null","-","**","**","-","1105","42","null","null","1528","255","null","null","875","null","740","null","-","-","**","**","-","**","**","-",
"1400000US17031390700","Census Tract 3907, Cook County, Illinois","1428","94","null","null","1131","123","null","null","1374","116","null","null","1701","80","null","null","1214","null","688","null","-","-","**","**","-","**","**","-",
"1400000US17031400300","Census Tract 4003, Cook County, Illinois","1190","129","null","null","-","**","**","-","620","67","null","null","1076","189","null","null","1467","null","365","null","1396","null","40","null","-","**","**","-",
"1400000US17031400400","Census Tract 4004, Cook County, Illinois","1092","186","null","null","-","**","**","-","688","203","null","null","1046","167","null","null","1395","null","102","null","1554","null","288","null","-","**","**","-",
"1400000US17031400500","Census Tract 4005, Cook County, Illinois","976","65","null","null","-","**","**","-","515","82","null","null","951","69","null","null","1141","null","221","null","1240","null","239","null","-","**","**","-",
"1400000US17031400800","Census Tract 4008, Cook County, Illinois","944","74","null","null","947","285","null","null","489","383","null","null","1033","97","null","null","1149","null","639","null","-","-","**","**","-","**","**","-",
"1400000US17031410100","Census Tract 4101, Cook County, Illinois","1263","126","null","null","811","123","null","null","1238","122","null","null","1591","715","null","null","2142","null","381","null","-","-","**","**","-","**","**","-",
"1400000US17031410200","Census Tract 4102, Cook County, Illinois","1115","50","null","null","877","37","null","null","1161","35","null","null","1185","199","null","null","1950","null","381","null","1316","null","240","null","-","**","**","-",
"1400000US17031410500","Census Tract 4105, Cook County, Illinois","1265","126","null","null","906","492","null","null","1015","349","null","null","1403","134","null","null","1629","null","253","null","-","-","**","**","-","**","**","-",
"1400000US17031410600","Census Tract 4106, Cook County, Illinois","1342","105","null","null","-","**","**","-","1088","164","null","null","1537","211","null","null","1333","null","928","null","1472","null","1077","null","-","**","**","-",
"1400000US17031410700","Census Tract 4107, Cook County, Illinois","1194","66","null","null","1070","103","null","null","1135","36","null","null","1337","124","null","null","1785","null","163","null","-","-","**","**","-","**","**","-",
"1400000US17031410800","Census Tract 4108, Cook County, Illinois","1026","88","null","null","900","69","null","null","1032","83","null","null","1669","53","null","null","1583","null","256","null","-","-","**","**","-","**","**","-",
"1400000US17031410900","Census Tract 4109, Cook County, Illinois","1279","126","null","null","920","48","null","null","1256","128","null","null","1875","220","null","null","1906","null","286","null","-","-","**","**","-","**","**","-",
"1400000US17031411000","Census Tract 4110, Cook County, Illinois","1272","124","null","null","1159","308","null","null","1171","131","null","null","1483","1017","null","null","1964","null","1580","null","-","-","**","**","-","**","**","-",
"1400000US17031411100","Census Tract 4111, Cook County, Illinois","1295","135","null","null","796","182","null","null","1136","71","null","null","2141","729","null","null","2622","null","169","null","1940","null","554","null","-","**","**","-",
