"GEO_ID","NAME","B25031_001E","B25031_001M","B25031_001MA","B25031_001EA","B25031_002E","B25031_002M","B25031_002MA","B25031_002EA","B25031_003E","B25031_003M","B25031_003MA","B25031_003EA","B25031_004E","B25031_004M","B25031_004MA","B25031_004EA","B25031_005E","B25031_005M","B25031_005MA","B25031_005EA","B25031_006E","B25031_006M","B25031_006MA","B25031_006EA","B25031_007E","B25031_007M","B25031_007MA","B25031_007EA",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total:","Margin of Error!!Median gross rent --!!Total:","Annotation of Margin of Error!!Median gross rent --!!Total:","Annotation of Estimate!!Median gross rent --!!Total:","Estimate!!Median gross rent --!!Total:!!No bedroom","Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!No bedroom","Estimate!!Median gross rent --!!Total:!!1 bedroom","Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!1 bedroom","Estimate!!Median gross rent --!!Total:!!2 bedrooms","Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!2 bedrooms","Estimate!!Median gross rent --!!Total:!!3 bedrooms","Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!3 bedrooms","Estimate!!Median gross rent --!!Total:!!4 bedrooms","Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!4 bedrooms","Estimate!!Median gross rent --!!Total:!!5 or more bedrooms","Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!5 or more bedrooms",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","1134","38","null","null","937","58","null","null","1152","29","null","null","1757","146","null","null","-","**","**","-","-","**","**","-","-","**","**","-",
"1400000US17031030701","Census Tract 307.01, Cook County, Illinois","927","65","null","null","853","31","null","null","1193","128","null","null","-","**","**","-","1266","452","null","null","-","**","**","-","-","**","**","-",
"1400000US17031030702","Census Tract 307.02, Cook County, Illinois","1455","188","null","null","1066","129","null","null","1578","185","null","null","1438","499","null","null","-","**","**","-","-","**","**","-","-","**","**","-",
"1400000US17031030703","Census Tract 307.03, Cook County, Illinois","1002","169","null","null","569","389","null","null","980","423","null","null","1186","328","null","null","1885","215","null","null","-","**","**","-","-","**","**","-",
"1400000US17031030706","Census Tract 307.06, Cook County, Illinois","1232","104","null","null","1121","149","null","null","1329","136","null","null","-","**","**","-","-","**","**","-","-","**","**","-","-","**","**","-",
"1400000US17031030800","Census Tract 308, Cook County, Illinois","1378","174","null","null","1277","342","null","null","1084","105","null","null","1625","135","null","null","1857","532","null","null","-","**","**","-","-","**","**","-",
"1400000US17031030900","Census Tract 309, Cook County, Illinois","1582","176","null","null","-","**","**","-","1162","415","null","null","1722","117","null","null","1708","692","null","null","-","**","**","-","-","**","**","-",
"1400000US17031031000","Census Tract 310, Cook County, Illinois","1255","143","null","null","1405","887","null","null","1158","58","null","null","1516","201","null","null","1985","361","null","null","-","**","**","-","-","**","**","-",
"1400000US17031031100","Census Tract 311, Cook County, Illinois","1293","147","null","null","967","73","null","null","1100","107","null","null","1597","137","null","null","1920","235","null","null","-","**","**","-","-","**","**","-",
"1400000US17031031200","Census Tract 312, Cook County, Illinois","814","191","null","null","613","264","null","null","739","310","null","null","951","304","null","null","1281","496","null","null","-","**","**","-","-","**","**","-",
"1400000US17031031300","Census Tract 313, Cook County, Illinois","1016","87","null","null","-","**","**","-","1028","105","null","null","1094","1012","null","null","1653","499","null","null","-","**","**","-","-","**","**","-",
"1400000US17031031400","Census Tract 314, Cook County, Illinois","1362","68","null","null","1164","188","null","null","1365","71","null","null","1862","193","null","null","2506","624","null","null","-","**","**","-","-","**","**","-",
