year,census_tract,f0_
2013,17031110200,8
2013,17031150502,13
2013,17031835500,4
2014,17031490500,10
2019,17031200402,2
2014,17031690500,1
2014,17031720700,3
2014,17031440202,1
2014,17031381400,7
2014,17031300500,2
2017,17031420300,33
2017,17031840000,24
2017,17031420200,22
2017,17031400300,35
2017,17031161300,45
2017,17031843900,96
2018,17031841700,1
2018,17031836100,11
2018,17031490800,1
2018,17031740400,2
2018,17031150700,8
2018,17031590700,4
2018,17031620100,2
2018,17031831600,2
2018,17031460400,1
2018,17031835100,1
2018,17031430700,2
2019,17031841600,1
2019,17031834300,8
2019,17031231500,9
2019,17031300600,1
2019,17031200100,8
2019,17031460302,1
2019,17031431302,6
2014,17031610800,2
2018,17031150600,11
2016,17031210800,125
2016,17031843000,8
2017,17031280900,13
2017,17031830500,11
2017,17031520100,8
2017,17031580501,3
2016,17031841700,2
2013,17031190100,7
2014,17031440101,3
2014,17031191301,2
2014,17031690300,2
2013,17031380200,2
2013,17031190701,3
2016,17031600400,50
2016,17031831600,4
2022,17031840000,5
2014,17031740200,2
2014,17031251800,3
2013,17031450300,4
2013,17031837000,6
2013,17031151200,5
2013,17031843800,3
2015,17031150401,23
2022,17031671800,1
2014,17031191000,12
2022,17031020100,2
2020,17031835500,3
2020,17031050300,20
2020,17031835000,1
2021,17031836100,1
2020,17031836600,1
2020,17031240700,3
2020,17031030400,11
2020,17031310900,6
2020,17031510300,7
2020,17031150401,6
2020,17031251800,2
2020,17031020701,2
2019,17031221000,6
2019,17031190300,2
2019,17031210800,12
2019,17031600600,2
2020,17031720500,1
2013,17031230400,4
2016,17031561100,4
2018,17031410500,9
2018,17031250500,2
2018,17031420600,2
2018,17031711300,2
2020,17031420100,1
2020,17031491000,2
2014,17031710400,4
2020,17031491400,2
2020,17031841200,1
2020,17031150600,3
2022,17031260100,1
2022,17031490600,1
2021,17031431301,1
2021,17031230100,1
2021,17031271800,1
2021,17031160100,1
2021,17031040900,4
2018,17031560400,4
2016,17031838800,3
2016,17031834700,1
2016,17031280900,15
2016,17031700200,2
2016,17031230400,12
2016,17031834500,3
2017,17031251000,3
2017,17031560800,3
2017,17031681100,2
2016,17031251900,5
2016,17031630800,2
2016,17031837300,1
2017,17031750600,2
2017,17031231500,3
2017,17031570400,5
2015,17031834400,3
2015,17031836000,12
2015,17031191302,5
2015,17031250500,11
2015,17031700501,3
2015,17031610300,5
2015,17031490800,9
2015,17031611500,2
2017,17031381800,2
2017,17031834700,1
2017,17031720600,4
2017,17031690300,2
2017,17031191302,3
2014,17031650200,4
2013,17031400300,4
2013,17031530300,1
2013,17031842400,1
2020,17031230600,1
2016,17031252000,1
2014,17031510300,1
2014,17031580800,2
2015,17031838700,2
2015,17031840800,1
2017,17031691500,3
2017,17031650301,1
2017,17031838600,1
2017,17031700200,1
2018,17031590500,1
2019,17031836800,3
2019,17031540102,1
2019,17031690400,2
2019,17031640600,1
2018,17031821402,1
2018,17031561100,2
2016,17031530400,2
2016,17031691200,3
2016,17031834600,3
2016,17031520100,4
2016,17031300700,2
2014,17031301701,1
2014,17031843000,1
2014,17031430600,3
2018,17031250800,1
2018,17031630900,1
2017,17031640700,1
2016,17031570100,1
2019,17031834600,5
2014,17031450300,2
2019,17031840700,3
2013,17031250200,1
2016,17031420500,8
2016,17031660700,1
2017,17031831600,2
2013,17031670300,2
2013,17031260200,1
2013,17031580501,1
2013,17031491400,2
2013,17031510300,2
2013,17031230800,2
2013,17031550200,1
2013,17031150501,1
2013,17031660900,1
2013,17031090300,1
2013,17031611800,1
2013,17031611700,1
2013,17031251300,1
2015,17031660400,1
2015,17031271200,3
2015,17031301802,1
2015,17031843400,2
2014,17031460600,1
2014,17031530400,3
2014,17031831300,3
2014,17031841400,1
2014,17031650400,1
2013,17031440300,1
2015,17031730100,1
2016,17031711200,1
2015,17031090300,1
2016,17031834800,1
2013,17031620300,2
2020,17031340600,1
2019,17031251500,1
2017,17031750400,1
2015,17031750300,1
2014,17031050200,22713
2014,17031330100,584546
2014,17031060500,8822
2014,17031839100,2419432
2014,17031070101,103609
2014,17031081800,819971
2014,17031841900,161910
2014,17031032100,70664
2014,17031832600,129312
2014,17031831900,37970
2014,17031050600,20286
