"GEO_ID","NAME","B25058_001E","B25058_001M","B25058_001MA","B25058_001EA",
"Geography","Geographic Area Name","Estimate!!Median contract rent","Margin of Error!!Median contract rent","Annotation of Margin of Error!!Median contract rent","Annotation of Estimate!!Median contract rent",
"1400000US17031140302","Census Tract 1403.02, Cook County, Illinois","992","107","null","null",
"1400000US17031140400","Census Tract 1404, Cook County, Illinois","885","104","null","null",
"1400000US17031140500","Census Tract 1405, Cook County, Illinois","961","101","null","null",
"1400000US17031140601","Census Tract 1406.01, Cook County, Illinois","936","40","null","null",
"1400000US17031140602","Census Tract 1406.02, Cook County, Illinois","972","104","null","null",
"1400000US17031140701","Census Tract 1407.01, Cook County, Illinois","1061","111","null","null",
"1400000US17031140702","Census Tract 1407.02, Cook County, Illinois","902","55","null","null",
"1400000US17031140800","Census Tract 1408, Cook County, Illinois","1008","99","null","null",
"1400000US17031150200","Census Tract 1502, Cook County, Illinois","912","70","null","null",
"1400000US17031150300","Census Tract 1503, Cook County, Illinois","1038","85","null","null",
"1400000US17031150401","Census Tract 1504.01, Cook County, Illinois","977","73","null","null",
"1400000US17031150402","Census Tract 1504.02, Cook County, Illinois","906","48","null","null",
"1400000US17031150501","Census Tract 1505.01, Cook County, Illinois","974","116","null","null",
"1400000US17031150502","Census Tract 1505.02, Cook County, Illinois","978","115","null","null",
"1400000US17031150600","Census Tract 1506, Cook County, Illinois","929","112","null","null",
"1400000US17031150700","Census Tract 1507, Cook County, Illinois","1054","198","null","null",
"1400000US17031150800","Census Tract 1508, Cook County, Illinois","897","73","null","null",
"1400000US17031151001","Census Tract 1510.01, Cook County, Illinois","827","51","null","null",
"1400000US17031151002","Census Tract 1510.02, Cook County, Illinois","962","69","null","null",
"1400000US17031151100","Census Tract 1511, Cook County, Illinois","915","33","null","null",
"1400000US17031151200","Census Tract 1512, Cook County, Illinois","955","144","null","null",
"1400000US17031160100","Census Tract 1601, Cook County, Illinois","1085","83","null","null",
"1400000US17031160200","Census Tract 1602, Cook County, Illinois","892","55","null","null",
"1400000US17031160300","Census Tract 1603, Cook County, Illinois","956","54","null","null",
"1400000US17031160400","Census Tract 1604, Cook County, Illinois","944","36","null","null",
"1400000US17031160501","Census Tract 1605.01, Cook County, Illinois","988","79","null","null",
"1400000US17031160502","Census Tract 1605.02, Cook County, Illinois","968","103","null","null",
"1400000US17031160601","Census Tract 1606.01, Cook County, Illinois","1152","127","null","null",
"1400000US17031160602","Census Tract 1606.02, Cook County, Illinois","938","28","null","null",
"1400000US17031160700","Census Tract 1607, Cook County, Illinois","1108","102","null","null",
"1400000US17031160800","Census Tract 1608, Cook County, Illinois","1107","70","null","null",
"1400000US17031160900","Census Tract 1609, Cook County, Illinois","1056","119","null","null",
"1400000US17031161000","Census Tract 1610, Cook County, Illinois","1214","173","null","null",
"1400000US17031161100","Census Tract 1611, Cook County, Illinois","1358","106","null","null",
"1400000US17031161200","Census Tract 1612, Cook County, Illinois","935","72","null","null",
"1400000US17031161300","Census Tract 1613, Cook County, Illinois","880","55","null","null",
"1400000US17031170100","Census Tract 1701, Cook County, Illinois","-","**","**","-",
"1400000US17031170200","Census Tract 1702, Cook County, Illinois","949","31","null","null",
"1400000US17031170300","Census Tract 1703, Cook County, Illinois","1012","124","null","null",
"1400000US17031170400","Census Tract 1704, Cook County, Illinois","1022","169","null","null",
"1400000US17031170500","Census Tract 1705, Cook County, Illinois","1035","206","null","null",
"1400000US17031170600","Census Tract 1706, Cook County, Illinois","1000","628","null","null",
"1400000US17031170700","Census Tract 1707, Cook County, Illinois","1008","155","null","null",
"1400000US17031170800","Census Tract 1708, Cook County, Illinois","990","425","null","null",
"1400000US17031170900","Census Tract 1709, Cook County, Illinois","961","127","null","null",
"1400000US17031171000","Census Tract 1710, Cook County, Illinois","1021","440","null","null",
"1400000US17031171100","Census Tract 1711, Cook County, Illinois","888","155","null","null",
"1400000US17031180100","Census Tract 1801, Cook County, Illinois","1010","444","null","null",
"1400000US17031190100","Census Tract 1901, Cook County, Illinois","770","50","null","null",
"1400000US17031190200","Census Tract 1902, Cook County, Illinois","904","63","null","null",
"1400000US17031190300","Census Tract 1903, Cook County, Illinois","821","53","null","null",
"1400000US17031190401","Census Tract 1904.01, Cook County, Illinois","1001","168","null","null",
"1400000US17031190402","Census Tract 1904.02, Cook County, Illinois","970","107","null","null",
"1400000US17031190601","Census Tract 1906.01, Cook County, Illinois","1000","99","null","null",
"1400000US17031190602","Census Tract 1906.02, Cook County, Illinois","820","105","null","null",
"1400000US17031190701","Census Tract 1907.01, Cook County, Illinois","857","43","null","null",
"1400000US17031190702","Census Tract 1907.02, Cook County, Illinois","894","49","null","null",
"1400000US17031190800","Census Tract 1908, Cook County, Illinois","954","39","null","null",
"1400000US17031190900","Census Tract 1909, Cook County, Illinois","852","42","null","null",
"1400000US17031191000","Census Tract 1910, Cook County, Illinois","906","128","null","null",
"1400000US17031191100","Census Tract 1911, Cook County, Illinois","810","37","null","null",
