"GEO_ID","NAME","B25058_001E","B25058_001EA","B25058_001M","B25058_001MA",
"Geography","Geographic Area Name","Estimate!!Median contract rent","Annotation of Estimate!!Median contract rent","Margin of Error!!Median contract rent","Annotation of Margin of Error!!Median contract rent",
"1400000US17031160601","Census Tract 1606.01, Cook County, Illinois","1356","null","126","null",
"1400000US17031160602","Census Tract 1606.02, Cook County, Illinois","1051","null","84","null",
"1400000US17031160700","Census Tract 1607, Cook County, Illinois","1134","null","66","null",
"1400000US17031160800","Census Tract 1608, Cook County, Illinois","1178","null","159","null",
"1400000US17031160900","Census Tract 1609, Cook County, Illinois","1133","null","80","null",
"1400000US17031161000","Census Tract 1610, Cook County, Illinois","1464","null","252","null",
"1400000US17031161100","Census Tract 1611, Cook County, Illinois","1239","null","200","null",
"1400000US17031161200","Census Tract 1612, Cook County, Illinois","963","null","112","null",
"1400000US17031161300","Census Tract 1613, Cook County, Illinois","917","null","55","null",
"1400000US17031170100","Census Tract 1701, Cook County, Illinois","-","-","**","**",
"1400000US17031170200","Census Tract 1702, Cook County, Illinois","1075","null","440","null",
"1400000US17031170300","Census Tract 1703, Cook County, Illinois","1052","null","153","null",
"1400000US17031170400","Census Tract 1704, Cook County, Illinois","984","null","545","null",
"1400000US17031170500","Census Tract 1705, Cook County, Illinois","1163","null","255","null",
"1400000US17031170600","Census Tract 1706, Cook County, Illinois","983","null","662","null",
"1400000US17031170700","Census Tract 1707, Cook County, Illinois","1102","null","221","null",
"1400000US17031170800","Census Tract 1708, Cook County, Illinois","969","null","354","null",
"1400000US17031170900","Census Tract 1709, Cook County, Illinois","1244","null","193","null",
"1400000US17031171000","Census Tract 1710, Cook County, Illinois","868","null","44","null",
"1400000US17031171100","Census Tract 1711, Cook County, Illinois","1009","null","284","null",
"1400000US17031180100","Census Tract 1801, Cook County, Illinois","1206","null","203","null",
"1400000US17031190100","Census Tract 1901, Cook County, Illinois","774","null","105","null",
"1400000US17031190200","Census Tract 1902, Cook County, Illinois","1064","null","145","null",
"1400000US17031190300","Census Tract 1903, Cook County, Illinois","865","null","63","null",
"1400000US17031190401","Census Tract 1904.01, Cook County, Illinois","880","null","111","null",
"1400000US17031190402","Census Tract 1904.02, Cook County, Illinois","1013","null","107","null",
"1400000US17031190601","Census Tract 1906.01, Cook County, Illinois","1030","null","179","null",
"1400000US17031190602","Census Tract 1906.02, Cook County, Illinois","1005","null","146","null",
"1400000US17031190701","Census Tract 1907.01, Cook County, Illinois","1025","null","87","null",
"1400000US17031190702","Census Tract 1907.02, Cook County, Illinois","965","null","66","null",
"1400000US17031190800","Census Tract 1908, Cook County, Illinois","982","null","63","null",
"1400000US17031190900","Census Tract 1909, Cook County, Illinois","847","null","85","null",
"1400000US17031191000","Census Tract 1910, Cook County, Illinois","854","null","16","null",
"1400000US17031191100","Census Tract 1911, Cook County, Illinois","944","null","35","null",
"1400000US17031191200","Census Tract 1912, Cook County, Illinois","943","null","49","null",
"1400000US17031191301","Census Tract 1913.01, Cook County, Illinois","1074","null","132","null",
"1400000US17031191302","Census Tract 1913.02, Cook County, Illinois","1040","null","109","null",
"1400000US17031200100","Census Tract 2001, Cook County, Illinois","920","null","75","null",
"1400000US17031200200","Census Tract 2002, Cook County, Illinois","896","null","63","null",
"1400000US17031200300","Census Tract 2003, Cook County, Illinois","1205","null","265","null",
"1400000US17031200401","Census Tract 2004.01, Cook County, Illinois","876","null","70","null",
"1400000US17031200402","Census Tract 2004.02, Cook County, Illinois","795","null","213","null",
"1400000US17031210100","Census Tract 2101, Cook County, Illinois","1306","null","240","null",
"1400000US17031210400","Census Tract 2104, Cook County, Illinois","982","null","44","null",
"1400000US17031210501","Census Tract 2105.01, Cook County, Illinois","1155","null","89","null",
"1400000US17031210502","Census Tract 2105.02, Cook County, Illinois","1089","null","97","null",
"1400000US17031210601","Census Tract 2106.01, Cook County, Illinois","1145","null","137","null",
"1400000US17031210602","Census Tract 2106.02, Cook County, Illinois","1125","null","157","null",
"1400000US17031210700","Census Tract 2107, Cook County, Illinois","1291","null","208","null",
"1400000US17031210800","Census Tract 2108, Cook County, Illinois","1147","null","188","null",
"1400000US17031210900","Census Tract 2109, Cook County, Illinois","1333","null","137","null",
