"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007M","B02001_007MA","B02001_007EA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1400000US17031490400","Census Tract 4904, Cook County, Illinois","839","190","null","null","0","11","null","null","839","190","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","null","11","null",
"1400000US17031490500","Census Tract 4905, Cook County, Illinois","2084","224","null","null","76","67","null","null","1939","210","null","null","0","11","null","null","13","null","18","null","0","11","null","null","0","11","null","null","56","null","41","null","7","13","null","null","49","null","34","null",
"1400000US17031490600","Census Tract 4906, Cook County, Illinois","1558","237","null","null","23","23","null","null","1525","240","null","null","0","11","null","null","10","null","37","null","0","11","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","null","11","null",
"1400000US17031490700","Census Tract 4907, Cook County, Illinois","2834","322","null","null","0","11","null","null","2821","323","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","13","null","20","null","0","11","null","null","13","null","20","null",
"1400000US17031490800","Census Tract 4908, Cook County, Illinois","4110","552","null","null","19","22","null","null","4019","552","null","null","33","40","null","null","0","null","11","null","0","11","null","null","0","11","null","null","39","null","43","null","0","11","null","null","39","null","43","null",
"1400000US17031490901","Census Tract 4909.01, Cook County, Illinois","3768","575","null","null","5","10","null","null","3751","585","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","12","null","25","null","0","11","null","null","12","null","25","null",
"1400000US17031490902","Census Tract 4909.02, Cook County, Illinois","4999","513","null","null","31","31","null","null","4923","508","null","null","0","11","null","null","24","null","37","null","0","11","null","null","0","11","null","null","21","null","34","null","0","11","null","null","21","null","34","null",
"1400000US17031491000","Census Tract 4910, Cook County, Illinois","4584","752","null","null","50","49","null","null","4471","745","null","null","8","13","null","null","12","null","24","null","0","11","null","null","31","46","null","null","12","null","19","null","0","11","null","null","12","null","19","null",
"1400000US17031491100","Census Tract 4911, Cook County, Illinois","4488","526","null","null","151","87","null","null","4261","536","null","null","0","11","null","null","0","null","11","null","0","11","null","null","76","78","null","null","0","null","11","null","0","11","null","null","0","null","11","null",
"1400000US17031491200","Census Tract 4912, Cook County, Illinois","2097","258","null","null","15","13","null","null","1944","266","null","null","0","11","null","null","34","null","34","null","0","11","null","null","104","90","null","null","0","null","11","null","0","11","null","null","0","null","11","null",
"1400000US17031491300","Census Tract 4913, Cook County, Illinois","2465","426","null","null","69","70","null","null","2369","426","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","27","null","39","null","0","11","null","null","27","null","39","null",
