"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010M","B02001_010MA","B02001_010EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US17031030702","Census Tract 307.02, Cook County, Illinois","2352","454","null","null","1420","194","null","null","29","28","null","null","0","12","null","null","772","344","null","null","0","12","null","null","22","null","23","null","109","86","null","null","25","24","null","null","84","81","null","null",
"1400000US17031030703","Census Tract 307.03, Cook County, Illinois","3035","360","null","null","1966","317","null","null","514","164","null","null","27","42","null","null","146","69","null","null","0","12","null","null","110","null","86","null","272","211","null","null","206","204","null","null","66","47","null","null",
"1400000US17031030706","Census Tract 307.06, Cook County, Illinois","2774","467","null","null","1632","288","null","null","555","324","null","null","0","12","null","null","517","398","null","null","0","12","null","null","11","null","30","null","59","87","null","null","0","12","null","null","59","87","null","null",
"1400000US17031030800","Census Tract 308, Cook County, Illinois","4389","478","null","null","3457","451","null","null","238","177","null","null","0","12","null","null","420","232","null","null","0","12","null","null","192","null","193","null","82","76","null","null","0","12","null","null","82","76","null","null",
"1400000US17031030900","Census Tract 309, Cook County, Illinois","3053","328","null","null","2355","310","null","null","227","156","null","null","16","23","null","null","298","160","null","null","0","12","null","null","6","null","9","null","151","96","null","null","20","22","null","null","131","92","null","null",
"1400000US17031031000","Census Tract 310, Cook County, Illinois","3847","443","null","null","3068","385","null","null","57","39","null","null","0","12","null","null","215","147","null","null","0","12","null","null","117","null","112","null","390","289","null","null","132","163","null","null","258","238","null","null",
"1400000US17031031100","Census Tract 311, Cook County, Illinois","4596","588","null","null","3729","568","null","null","203","169","null","null","0","12","null","null","398","210","null","null","0","12","null","null","15","null","23","null","251","182","null","null","73","115","null","null","178","138","null","null",
"1400000US17031031200","Census Tract 312, Cook County, Illinois","6235","913","null","null","2659","546","null","null","1991","649","null","null","7","14","null","null","901","492","null","null","0","17","null","null","418","null","304","null","259","186","null","null","91","114","null","null","168","142","null","null",
"1400000US17031031300","Census Tract 313, Cook County, Illinois","7796","837","null","null","4188","475","null","null","1307","241","null","null","19","28","null","null","1803","696","null","null","0","17","null","null","221","null","211","null","258","212","null","null","20","29","null","null","238","207","null","null",
"1400000US17031031400","Census Tract 314, Cook County, Illinois","4840","551","null","null","3665","529","null","null","269","138","null","null","0","12","null","null","596","253","null","null","0","12","null","null","68","null","71","null","242","124","null","null","53","49","null","null","189","112","null","null",
"1400000US17031031501","Census Tract 315.01, Cook County, Illinois","4794","841","null","null","1846","342","null","null","1554","794","null","null","7","11","null","null","827","262","null","null","0","12","null","null","420","null","336","null","140","87","null","null","37","47","null","null","103","70","null","null",
"1400000US17031031502","Census Tract 315.02, Cook County, Illinois","4693","472","null","null","2117","409","null","null","1731","363","null","null","67","103","null","null","175","115","null","null","0","12","null","null","236","null","206","null","367","262","null","null","123","142","null","null","244","221","null","null",
"1400000US17031031700","Census Tract 317, Cook County, Illinois","6809","1198","null","null","4756","1000","null","null","1219","397","null","null","224","211","null","null","225","127","null","null","0","17","null","null","168","null","124","null","217","138","null","null","115","100","null","null","102","87","null","null",
"1400000US17031031800","Census Tract 318, Cook County, Illinois","1976","274","null","null","1347","149","null","null","79","59","null","null","2","4","null","null","272","105","null","null","0","12","null","null","91","null","66","null","185","133","null","null","71","64","null","null","114","91","null","null",
"1400000US17031031900","Census Tract 319, Cook County, Illinois","2553","394","null","null","1990","327","null","null","270","168","null","null","0","12","null","null","157","114","null","null","0","12","null","null","60","null","59","null","76","58","null","null","0","12","null","null","76","58","null","null",
"1400000US17031032100","Census Tract 321, Cook County, Illinois","7166","1264","null","null","5727","1158","null","null","660","434","null","null","0","17","null","null","304","303","null","null","0","17","null","null","262","null","214","null","213","203","null","null","50","87","null","null","163","179","null","null",
"1400000US17031040100","Census Tract 401, Cook County, Illinois","3934","433","null","null","3120","391","null","null","359","235","null","null","15","33","null","null","113","83","null","null","0","12","null","null","201","null","168","null","126","81","null","null","13","21","null","null","113","78","null","null",
"1400000US17031040201","Census Tract 402.01, Cook County, Illinois","6875","1012","null","null","5105","944","null","null","101","79","null","null","1","2","null","null","575","224","null","null","0","17","null","null","661","null","430","null","432","219","null","null","25","40","null","null","407","213","null","null",
