"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002EA","B02001_002M","B02001_002MA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US17031031000","Census Tract 310, Cook County, Illinois","3830","null","523","null","3041","null","429","null","60","50","null","null","0","12","null","null","206","null","110","null","0","null","12","null","177","null","121","null","346","259","null","null","162","null","178","null","184","null","195","null",
"1400000US17031031100","Census Tract 311, Cook County, Illinois","4685","null","610","null","3586","null","605","null","315","245","null","null","0","12","null","null","304","null","172","null","0","null","12","null","137","null","210","null","343","231","null","null","109","null","131","null","234","null","169","null",
"1400000US17031031200","Census Tract 312, Cook County, Illinois","5878","null","681","null","2156","null","536","null","2037","513","null","null","17","20","null","null","889","null","267","null","0","null","17","null","484","null","313","null","295","176","null","null","164","null","149","null","131","null","96","null",
"1400000US17031031300","Census Tract 313, Cook County, Illinois","7237","null","851","null","4209","null","548","null","1114","367","null","null","7","12","null","null","1364","null","666","null","0","null","17","null","202","null","201","null","341","218","null","null","54","null","55","null","287","null","209","null",
"1400000US17031031400","Census Tract 314, Cook County, Illinois","4934","null","540","null","3856","null","539","null","219","108","null","null","0","12","null","null","519","null","225","null","0","null","12","null","26","null","35","null","314","164","null","null","92","null","79","null","222","null","141","null",
"1400000US17031031501","Census Tract 315.01, Cook County, Illinois","4684","null","814","null","1601","null","302","null","1715","797","null","null","10","16","null","null","827","null","240","null","0","null","12","null","365","null","239","null","166","82","null","null","52","null","52","null","114","null","66","null",
"1400000US17031031502","Census Tract 315.02, Cook County, Illinois","4878","null","485","null","1889","null","358","null","2176","401","null","null","0","12","null","null","109","null","79","null","0","null","12","null","251","null","193","null","453","317","null","null","98","null","139","null","355","null","285","null",
"1400000US17031031700","Census Tract 317, Cook County, Illinois","6355","null","1142","null","4676","null","949","null","911","398","null","null","49","74","null","null","339","null","171","null","0","null","17","null","165","null","126","null","215","124","null","null","115","null","103","null","100","null","65","null",
"1400000US17031031800","Census Tract 318, Cook County, Illinois","2014","null","218","null","1259","null","146","null","92","59","null","null","1","2","null","null","264","null","122","null","0","null","12","null","114","null","106","null","284","127","null","null","103","null","68","null","181","null","85","null",
"1400000US17031031900","Census Tract 319, Cook County, Illinois","2599","null","350","null","2015","null","321","null","263","157","null","null","9","15","null","null","146","null","115","null","0","null","12","null","43","null","42","null","123","69","null","null","0","null","12","null","123","null","69","null",
"1400000US17031032100","Census Tract 321, Cook County, Illinois","7944","null","1164","null","5647","null","1230","null","556","303","null","null","81","127","null","null","1137","null","786","null","0","null","17","null","336","null","315","null","187","162","null","null","40","null","68","null","147","null","147","null",
