"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003EA","B02001_003M","B02001_003MA","B02001_004E","B02001_004EA","B02001_004M","B02001_004MA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1400000US17031410600","Census Tract 4106, Cook County, Illinois","2699","null","375","null","1209","251","null","null","958","null","343","null","0","null","11","null","317","116","null","null","0","11","null","null","18","null","23","null","197","null","104","null","0","null","11","null","197","null","104","null",
"1400000US17031410700","Census Tract 4107, Cook County, Illinois","2089","null","246","null","1353","234","null","null","359","null","126","null","0","null","11","null","229","112","null","null","0","11","null","null","35","null","31","null","113","null","76","null","38","null","59","null","75","null","49","null",
"1400000US17031410800","Census Tract 4108, Cook County, Illinois","3051","null","291","null","1258","258","null","null","919","null","200","null","74","null","92","null","506","126","null","null","0","11","null","null","162","null","207","null","132","null","91","null","0","null","11","null","132","null","91","null",
"1400000US17031410900","Census Tract 4109, Cook County, Illinois","3369","null","241","null","1833","263","null","null","860","null","162","null","3","null","6","null","348","132","null","null","0","11","null","null","120","null","80","null","205","null","107","null","99","null","92","null","106","null","56","null",
"1400000US17031411000","Census Tract 4110, Cook County, Illinois","3169","null","395","null","1542","280","null","null","1233","null","397","null","0","null","11","null","204","133","null","null","0","11","null","null","68","null","51","null","122","null","93","null","0","null","11","null","122","null","93","null",
"1400000US17031411100","Census Tract 4111, Cook County, Illinois","2295","null","250","null","1683","233","null","null","114","null","66","null","5","null","8","null","381","104","null","null","0","11","null","null","6","null","12","null","106","null","58","null","9","null","19","null","97","null","55","null",
"1400000US17031411200","Census Tract 4112, Cook County, Illinois","1551","null","116","null","1023","121","null","null","152","null","65","null","0","null","11","null","287","87","null","null","0","11","null","null","8","null","10","null","81","null","53","null","0","null","11","null","81","null","53","null",
"1400000US17031420100","Census Tract 4201, Cook County, Illinois","1447","null","164","null","66","53","null","null","1260","null","154","null","0","null","11","null","35","46","null","null","0","11","null","null","0","null","11","null","86","null","113","null","0","null","11","null","86","null","113","null",
"1400000US17031420200","Census Tract 4202, Cook County, Illinois","1672","null","316","null","375","141","null","null","1156","null","292","null","0","null","11","null","94","58","null","null","0","11","null","null","7","null","10","null","40","null","32","null","7","null","11","null","33","null","30","null",
"1400000US17031420300","Census Tract 4203, Cook County, Illinois","2737","null","262","null","1052","180","null","null","1131","null","200","null","0","null","11","null","488","122","null","null","0","11","null","null","34","null","53","null","32","null","30","null","12","null","14","null","20","null","23","null",
"1400000US17031420400","Census Tract 4204, Cook County, Illinois","1131","null","147","null","244","73","null","null","683","null","141","null","0","null","11","null","169","89","null","null","0","11","null","null","10","null","14","null","25","null","29","null","18","null","27","null","7","null","10","null",
