"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003EA","B02001_003M","B02001_003MA","B02001_004E","B02001_004EA","B02001_004M","B02001_004MA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007M","B02001_007MA","B02001_007EA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1400000US17031803500","Census Tract 8035, Cook County, Illinois","6150","null","355","null","5897","376","null","null","0","null","16","null","0","null","16","null","100","null","73","null","0","null","16","null","0","16","null","null","153","null","127","null","0","null","16","null","153","null","127","null",
"1400000US17031803603","Census Tract 8036.03, Cook County, Illinois","6659","null","360","null","5515","397","null","null","55","null","56","null","0","null","16","null","938","null","248","null","0","null","16","null","0","16","null","null","151","null","147","null","0","null","16","null","151","null","147","null",
"1400000US17031803604","Census Tract 8036.04, Cook County, Illinois","4285","null","262","null","3622","305","null","null","193","null","162","null","0","null","11","null","417","null","211","null","0","null","11","null","6","11","null","null","47","null","42","null","0","null","11","null","47","null","42","null",
"1400000US17031803605","Census Tract 8036.05, Cook County, Illinois","7394","null","439","null","5669","486","null","null","219","null","183","null","0","null","16","null","773","null","223","null","0","null","16","null","290","225","null","null","443","null","310","null","300","null","277","null","143","null","158","null",
"1400000US17031803606","Census Tract 8036.06, Cook County, Illinois","9286","null","722","null","5786","933","null","null","643","null","344","null","0","null","16","null","636","null","202","null","0","null","16","null","1971","935","null","null","250","null","189","null","83","null","100","null","167","null","151","null",
"1400000US17031803607","Census Tract 8036.07, Cook County, Illinois","5033","null","250","null","4646","252","null","null","41","null","45","null","0","null","16","null","295","null","137","null","0","null","16","null","51","57","null","null","0","null","16","null","0","null","16","null","0","null","16","null",
"1400000US17031803608","Census Tract 8036.08, Cook County, Illinois","7617","null","449","null","5634","658","null","null","588","null","371","null","0","null","16","null","1062","null","409","null","0","null","16","null","130","113","null","null","203","null","125","null","59","null","56","null","144","null","125","null",
"1400000US17031803610","Census Tract 8036.10, Cook County, Illinois","7748","null","592","null","5664","564","null","null","330","null","249","null","41","null","49","null","1270","null","252","null","0","null","16","null","319","345","null","null","124","null","119","null","53","null","86","null","71","null","83","null",
"1400000US17031803611","Census Tract 8036.11, Cook County, Illinois","5834","null","581","null","3369","567","null","null","167","null","148","null","0","null","16","null","818","null","303","null","0","null","16","null","1414","512","null","null","66","null","73","null","13","null","22","null","53","null","69","null",
"1400000US17031803612","Census Tract 8036.12, Cook County, Illinois","3665","null","549","null","2258","546","null","null","319","null","180","null","10","null","17","null","514","null","313","null","0","null","11","null","564","387","null","null","0","null","11","null","0","null","11","null","0","null","11","null",
"1400000US17031803701","Census Tract 8037.01, Cook County, Illinois","2594","null","210","null","2166","237","null","null","13","null","16","null","0","null","11","null","366","null","150","null","0","null","11","null","6","10","null","null","43","null","83","null","0","null","11","null","43","null","83","null",
