"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002EA","B02001_002M","B02001_002MA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004EA","B02001_004M","B02001_004MA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","2242","null","255","null","1380","null","253","null","449","175","null","null","0","null","11","null","248","null","79","null","4","null","8","null","45","null","38","null","116","null","61","null","0","null","11","null","116","null","61","null",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","3411","null","349","null","2444","null","349","null","281","134","null","null","0","null","11","null","555","null","211","null","0","null","11","null","35","null","50","null","96","null","59","null","17","null","24","null","79","null","60","null",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","5702","null","561","null","4695","null","473","null","303","233","null","null","0","null","16","null","235","null","144","null","0","null","16","null","283","null","228","null","186","null","106","null","48","null","63","null","138","null","83","null",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","3676","null","447","null","2150","null","330","null","560","347","null","null","19","null","32","null","522","null","193","null","0","null","11","null","218","null","186","null","207","null","105","null","76","null","76","null","131","null","70","null",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","2631","null","297","null","2089","null","290","null","85","65","null","null","28","null","32","null","186","null","109","null","0","null","11","null","78","null","81","null","165","null","121","null","10","null","16","null","155","null","124","null",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","6786","null","528","null","5375","null","548","null","375","216","null","null","0","null","16","null","360","null","170","null","14","null","24","null","297","null","168","null","365","null","141","null","51","null","48","null","314","null","138","null",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","3353","null","326","null","1943","null","353","null","593","268","null","null","0","null","11","null","746","null","314","null","0","null","11","null","22","null","36","null","49","null","48","null","0","null","11","null","49","null","48","null",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","2410","null","206","null","1467","null","254","null","437","164","null","null","39","null","55","null","363","null","169","null","0","null","11","null","28","null","31","null","76","null","46","null","11","null","18","null","65","null","42","null",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","3763","null","321","null","2020","null","265","null","748","208","null","null","0","null","11","null","844","null","222","null","0","null","11","null","11","null","19","null","140","null","73","null","22","null","27","null","118","null","67","null",
"1400000US17031030701","Census Tract 307.01, Cook County, Illinois","1625","null","171","null","891","null","167","null","437","105","null","null","15","null","22","null","195","null","93","null","0","null","11","null","53","null","52","null","34","null","32","null","6","null","11","null","28","null","25","null",
"1400000US17031030702","Census Tract 307.02, Cook County, Illinois","2211","null","194","null","1480","null","194","null","43","30","null","null","0","null","11","null","609","null","217","null","0","null","11","null","12","null","13","null","67","null","50","null","19","null","20","null","48","null","46","null",
"1400000US17031030703","Census Tract 307.03, Cook County, Illinois","2947","null","273","null","2055","null","262","null","553","176","null","null","34","null","53","null","108","null","48","null","0","null","11","null","94","null","75","null","103","null","63","null","29","null","34","null","74","null","62","null",
"1400000US17031030706","Census Tract 307.06, Cook County, Illinois","2845","null","310","null","1825","null","246","null","426","222","null","null","0","null","11","null","569","null","277","null","0","null","11","null","6","null","19","null","19","null","29","null","0","null","11","null","19","null","29","null",
"1400000US17031030800","Census Tract 308, Cook County, Illinois","4169","null","382","null","3371","null","358","null","141","92","null","null","0","null","11","null","398","null","159","null","0","null","11","null","192","null","184","null","67","null","56","null","0","null","11","null","67","null","56","null",
"1400000US17031030900","Census Tract 309, Cook County, Illinois","3126","null","311","null","2509","null","314","null","185","125","null","null","13","null","22","null","277","null","166","null","0","null","11","null","20","null","23","null","122","null","94","null","0","null","11","null","122","null","94","null",
"1400000US17031031000","Census Tract 310, Cook County, Illinois","3907","null","273","null","3224","null","334","null","187","164","null","null","0","null","11","null","359","null","231","null","0","null","11","null","32","null","40","null","105","null","85","null","9","null","13","null","96","null","85","null",
"1400000US17031031100","Census Tract 311, Cook County, Illinois","4720","null","526","null","3566","null","476","null","176","110","null","null","0","null","11","null","523","null","148","null","0","null","11","null","205","null","259","null","250","null","213","null","0","null","11","null","250","null","213","null",
"1400000US17031031200","Census Tract 312, Cook County, Illinois","6359","null","697","null","3125","null","633","null","1409","273","null","null","20","null","31","null","1088","null","411","null","0","null","16","null","479","null","302","null","238","null","136","null","17","null","27","null","221","null","133","null",
"1400000US17031031300","Census Tract 313, Cook County, Illinois","7775","null","556","null","4106","null","385","null","1689","458","null","null","16","null","27","null","1613","null","411","null","0","null","16","null","230","null","200","null","121","null","92","null","34","null","44","null","87","null","83","null",
"1400000US17031031400","Census Tract 314, Cook County, Illinois","4964","null","325","null","3707","null","378","null","356","160","null","null","11","null","24","null","626","null","280","null","0","null","11","null","49","null","60","null","215","null","102","null","29","null","36","null","186","null","98","null",
"1400000US17031031501","Census Tract 315.01, Cook County, Illinois","4474","null","432","null","1942","null","291","null","1420","372","null","null","11","null","18","null","750","null","222","null","0","null","11","null","247","null","204","null","104","null","70","null","2","null","12","null","102","null","67","null",
"1400000US17031031502","Census Tract 315.02, Cook County, Illinois","4628","null","439","null","2171","null","532","null","1761","280","null","null","67","null","108","null","169","null","134","null","0","null","11","null","210","null","178","null","250","null","198","null","16","null","24","null","234","null","198","null",
"1400000US17031031700","Census Tract 317, Cook County, Illinois","6785","null","658","null","4550","null","526","null","1561","403","null","null","173","null","166","null","178","null","90","null","0","null","16","null","182","null","116","null","141","null","87","null","73","null","67","null","68","null","57","null",
"1400000US17031031800","Census Tract 318, Cook County, Illinois","1889","null","149","null","1528","null","130","null","54","26","null","null","0","null","11","null","165","null","70","null","0","null","11","null","83","null","76","null","59","null","33","null","19","null","27","null","40","null","26","null",
"1400000US17031031900","Census Tract 319, Cook County, Illinois","2558","null","223","null","1996","null","212","null","205","152","null","null","14","null","21","null","126","null","83","null","0","null","11","null","85","null","93","null","132","null","105","null","0","null","11","null","132","null","105","null",
"1400000US17031032100","Census Tract 321, Cook County, Illinois","7106","null","745","null","5697","null","613","null","356","260","null","null","0","null","16","null","503","null","319","null","0","null","16","null","209","null","218","null","341","null","294","null","84","null","103","null","257","null","279","null",
"1400000US17031040100","Census Tract 401, Cook County, Illinois","4139","null","375","null","3398","null","445","null","264","124","null","null","15","null","33","null","170","null","108","null","0","null","11","null","192","null","160","null","100","null","59","null","0","null","11","null","100","null","59","null",
"1400000US17031040201","Census Tract 402.01, Cook County, Illinois","6814","null","564","null","4802","null","514","null","284","240","null","null","1","null","2","null","530","null","134","null","0","null","16","null","712","null","454","null","485","null","275","null","69","null","84","null","416","null","269","null",
"1400000US17031040202","Census Tract 402.02, Cook County, Illinois","7634","null","805","null","4747","null","1142","null","398","253","null","null","108","null","203","null","1297","null","634","null","0","null","16","null","371","null","281","null","713","null","488","null","46","null","46","null","667","null","487","null",
"1400000US17031040300","Census Tract 403, Cook County, Illinois","2953","null","279","null","1814","null","276","null","75","52","null","null","0","null","11","null","975","null","292","null","0","null","11","null","0","null","11","null","89","null","71","null","0","null","11","null","89","null","71","null",
"1400000US17031040401","Census Tract 404.01, Cook County, Illinois","3250","null","453","null","2715","null","421","null","114","127","null","null","26","null","39","null","152","null","97","null","0","null","11","null","61","null","41","null","182","null","121","null","6","null","14","null","176","null","120","null",
"1400000US17031040402","Census Tract 404.02, Cook County, Illinois","5154","null","427","null","4192","null","387","null","141","94","null","null","0","null","16","null","258","null","141","null","0","null","16","null","246","null","233","null","317","null","175","null","19","null","32","null","298","null","171","null",
